LOAN_ID,CUSTOMER_ID,LOAN_TYPE,SANCTION_AMT,INT_RATE,TENURE_MTHS
LN-HM-00115,RET-00115,Personal Loan,940000.0,13.0,60
LN-HM-00116,RET-00116,Home Loan,5020000.0,8.62,120
LN-HM-00117,RET-00117,Home Loan,11320000.0,9.18,120
LN-HM-00118,RET-00118,Personal Loan,840000.0,11.35,24
LN-HM-00119,RET-00119,Home Loan,8120000.0,9.32,300
LN-HM-00120,RET-00120,Personal Loan,880000.0,11.51,24
LN-HM-00121,RET-00121,Home Loan,7470000.0,9.25,180
LN-HM-00122,RET-00122,Vehicle Loan,2370000.0,9.51,84
LN-HM-00123,RET-00123,Home Loan,3070000.0,8.9,300
LN-HM-00124,RET-00124,Vehicle Loan,650000.0,9.54,36
LN-HM-00125,RET-00125,Home Loan,3080000.0,9.04,240
LN-HM-00126,RET-00126,Personal Loan,770000.0,12.03,48
LN-HM-00127,RET-00127,Personal Loan,190000.0,13.89,12
LN-HM-00128,RET-00128,Home Loan,2830000.0,8.73,120
LN-HM-00129,RET-00129,Vehicle Loan,2490000.0,10.65,84
LN-HM-00130,RET-00130,Home Loan,5520000.0,8.71,240
LN-HM-00131,RET-00131,Home Loan,1330000.0,9.13,240
LN-HM-00132,RET-00132,Home Loan,1330000.0,8.68,300
LN-HM-00133,RET-00133,Home Loan,13980000.0,9.16,180
LN-HM-00134,RET-00134,Home Loan,7440000.0,8.68,120
LN-HM-00135,RET-00135,Vehicle Loan,640000.0,10.69,72
LN-HM-00136,RET-00136,Home Loan,1070000.0,9.43,180
LN-HM-00137,RET-00137,Personal Loan,310000.0,12.31,24
LN-HM-00138,RET-00138,Personal Loan,1320000.0,12.07,12
LN-HM-00139,RET-00139,Vehicle Loan,3580000.0,10.9,72
LN-HM-00140,RET-00140,Home Loan,8830000.0,8.5,180
LN-HM-00141,RET-00141,Vehicle Loan,530000.0,10.27,84
LN-HM-00142,RET-00142,Vehicle Loan,840000.0,10.96,60
LN-HM-00143,RET-00143,Home Loan,2560000.0,9.26,240
LN-HM-00144,RET-00144,Home Loan,3190000.0,9.33,120
LN-HM-00145,RET-00145,Vehicle Loan,470000.0,9.18,84
LN-HM-00146,RET-00146,Home Loan,1870000.0,8.65,120
LN-HM-00147,RET-00147,Vehicle Loan,700000.0,9.77,36
LN-HM-00148,RET-00148,Home Loan,5960000.0,9.47,180
LN-HM-00149,RET-00149,Home Loan,1980000.0,9.33,120
LN-HM-00150,RET-00150,Personal Loan,690000.0,11.91,36
LN-HM-00151,RET-00151,Personal Loan,860000.0,12.46,48
LN-HM-00152,RET-00152,Home Loan,8120000.0,9.35,120
LN-HM-00153,RET-00153,Personal Loan,3370000.0,13.64,24
LN-HM-00154,RET-00154,Vehicle Loan,1790000.0,9.18,60
LN-HM-00155,RET-00155,Vehicle Loan,990000.0,9.97,72
LN-HM-00156,RET-00156,Personal Loan,2230000.0,13.85,36
LN-HM-00157,RET-00157,Home Loan,7920000.0,8.9,240
LN-HM-00158,RET-00158,Personal Loan,1230000.0,11.58,60
LN-HM-00159,RET-00159,Vehicle Loan,510000.0,10.15,60
LN-HM-00160,RET-00160,Home Loan,6230000.0,8.89,300
LN-HM-00161,RET-00161,Vehicle Loan,1070000.0,10.13,48
LN-HM-00162,RET-00162,Personal Loan,420000.0,11.72,12
LN-HM-00163,RET-00163,Personal Loan,600000.0,12.07,36
LN-HM-00164,RET-00164,Home Loan,4660000.0,9.33,120
LN-HM-00165,RET-00165,Home Loan,1250000.0,8.88,180
LN-HM-00166,RET-00166,Vehicle Loan,710000.0,9.62,36
LN-HM-00167,RET-00167,Personal Loan,270000.0,13.91,60
LN-HM-00168,RET-00168,Personal Loan,440000.0,12.19,48
LN-HM-00169,RET-00169,Vehicle Loan,910000.0,9.83,84
LN-HM-00170,RET-00170,Home Loan,1720000.0,8.82,300
LN-HM-00171,RET-00171,Home Loan,6520000.0,8.56,300
LN-HM-00172,RET-00172,Home Loan,1030000.0,8.61,240
LN-HM-00173,RET-00173,Personal Loan,640000.0,13.68,36
LN-HM-00174,RET-00174,Vehicle Loan,820000.0,10.09,36
LN-HM-00175,RET-00175,Home Loan,9940000.0,8.87,180
LN-HM-00176,RET-00176,Personal Loan,1000000.0,11.5,12
LN-HM-00177,RET-00177,Home Loan,980000.0,9.17,240
LN-HM-00178,RET-00178,Home Loan,4820000.0,8.61,300
LN-HM-00179,RET-00179,Vehicle Loan,540000.0,9.99,72
LN-HM-00180,RET-00180,Personal Loan,680000.0,13.76,60
LN-HM-00181,RET-00181,Personal Loan,630000.0,12.27,12
LN-HM-00182,RET-00182,Personal Loan,2360000.0,11.4,60
LN-HM-00183,RET-00183,Personal Loan,1200000.0,12.04,12
LN-HM-00184,RET-00184,Home Loan,6120000.0,8.58,180
LN-HM-00185,RET-00185,Home Loan,4370000.0,9.0,120
LN-HM-00186,RET-00186,Home Loan,2300000.0,8.59,120
LN-HM-00187,RET-00187,Personal Loan,1760000.0,12.45,12
LN-HM-00188,RET-00188,Personal Loan,280000.0,11.07,36
LN-HM-00189,RET-00189,Home Loan,3160000.0,9.23,180
LN-HM-00190,RET-00190,Vehicle Loan,950000.0,9.03,72
LN-HM-00191,RET-00191,Home Loan,4550000.0,8.87,180
LN-HM-00192,RET-00192,Home Loan,2420000.0,8.58,120
LN-HM-00193,RET-00193,Home Loan,2820000.0,9.14,300
LN-HM-00194,RET-00194,Vehicle Loan,1320000.0,9.11,60
LN-HM-00195,RET-00195,Vehicle Loan,2410000.0,10.64,84
LN-HM-00196,RET-00196,Vehicle Loan,750000.0,10.18,36
LN-HM-00197,RET-00197,Vehicle Loan,860000.0,9.32,60
LN-HM-00198,RET-00198,Home Loan,1840000.0,9.15,240
LN-HM-00199,RET-00199,Home Loan,1330000.0,9.18,240
LN-HM-00200,RET-00200,Home Loan,4800000.0,8.9,120
LN-HM-00201,RET-00201,Home Loan,3560000.0,9.19,300
LN-HM-00202,RET-00202,Personal Loan,390000.0,12.04,24
LN-HM-00203,RET-00203,Home Loan,11290000.0,9.02,120
LN-HM-00204,RET-00204,Vehicle Loan,350000.0,9.78,60
LN-HM-00205,RET-00205,Personal Loan,3450000.0,12.45,60
LN-HM-00206,RET-00206,Personal Loan,1590000.0,13.56,24
LN-HM-00207,RET-00207,Home Loan,2510000.0,8.51,300
LN-HM-00208,RET-00208,Personal Loan,730000.0,11.91,48
LN-HM-00209,RET-00209,Personal Loan,630000.0,13.47,48
LN-HM-00210,RET-00210,Home Loan,4750000.0,8.65,180
LN-HM-00211,RET-00211,Home Loan,12730000.0,8.88,120
LN-HM-00212,RET-00212,Personal Loan,650000.0,11.03,48
LN-HM-00213,RET-00213,Home Loan,2470000.0,8.7,120
LN-HM-00214,RET-00214,Home Loan,1990000.0,8.69,300
LN-HM-00215,RET-00215,Home Loan,2950000.0,9.21,300
LN-HM-00216,RET-00216,Home Loan,3370000.0,9.32,240
LN-HM-00217,RET-00217,Personal Loan,350000.0,11.17,36
LN-HM-00218,RET-00218,Home Loan,2170000.0,9.32,120
LN-HM-00219,RET-00219,Vehicle Loan,1480000.0,10.53,72
LN-HM-00220,RET-00220,Home Loan,2460000.0,9.18,180
LN-HM-00221,RET-00221,Home Loan,1150000.0,8.5,180
LN-HM-00222,RET-00222,Home Loan,3140000.0,8.9,240
LN-HM-00223,RET-00223,Home Loan,2960000.0,8.84,120
LN-HM-00224,RET-00224,Personal Loan,2620000.0,12.03,36
LN-HM-00225,RET-00225,Home Loan,3100000.0,9.17,180
LN-HM-00226,RET-00226,Home Loan,6220000.0,9.11,300
LN-HM-00227,RET-00227,Personal Loan,320000.0,13.99,36
LN-HM-00228,RET-00228,Home Loan,5360000.0,8.57,120
LN-HM-00229,RET-00229,Personal Loan,600000.0,11.17,12
LN-HM-00230,RET-00230,Home Loan,5370000.0,9.18,120
LN-HM-00231,RET-00231,Home Loan,5640000.0,8.82,240
LN-HM-00232,RET-00232,Vehicle Loan,1520000.0,10.23,48
LN-HM-00233,RET-00233,Home Loan,10550000.0,8.89,120
LN-HM-00234,RET-00234,Home Loan,2170000.0,9.02,180
LN-HM-00235,RET-00235,Personal Loan,990000.0,13.85,48
LN-HM-00236,RET-00236,Home Loan,8530000.0,8.65,180
LN-HM-00237,RET-00237,Personal Loan,600000.0,11.12,60
LN-HM-00238,RET-00238,Home Loan,10710000.0,8.92,120
LN-HM-00239,RET-00239,Home Loan,3210000.0,8.74,120
LN-HM-00240,RET-00240,Personal Loan,900000.0,13.17,48
LN-HM-00241,RET-00241,Home Loan,4350000.0,9.21,240
LN-HM-00242,RET-00242,Home Loan,1740000.0,9.25,120
LN-HM-00243,RET-00243,Home Loan,5450000.0,8.61,120
LN-HM-00244,RET-00244,Home Loan,4520000.0,9.34,120
LN-HM-00245,RET-00245,Home Loan,3600000.0,9.39,240
LN-HM-00246,RET-00246,Personal Loan,2190000.0,12.04,24
LN-HM-00247,RET-00247,Home Loan,2560000.0,8.7,180
LN-HM-00248,RET-00248,Personal Loan,270000.0,11.85,60
LN-HM-00249,RET-00249,Vehicle Loan,3170000.0,10.73,60
LN-HM-00250,RET-00250,Home Loan,8030000.0,8.68,120
LN-HM-00251,RET-00251,Home Loan,4490000.0,8.99,180
LN-HM-00252,RET-00252,Home Loan,2440000.0,8.91,180
LN-HM-00253,RET-00253,Home Loan,3240000.0,8.87,180
LN-HM-00254,RET-00254,Home Loan,1890000.0,8.79,120
LN-HM-00255,RET-00255,Personal Loan,530000.0,13.98,24
LN-HM-00256,RET-00256,Personal Loan,270000.0,13.32,60
LN-HM-00257,RET-00257,Home Loan,2950000.0,8.73,120
LN-HM-00258,RET-00258,Vehicle Loan,1270000.0,9.55,84
LN-HM-00259,RET-00259,Home Loan,1950000.0,8.94,300
LN-HM-00260,RET-00260,Vehicle Loan,1510000.0,10.55,48
LN-HM-00261,RET-00261,Home Loan,3130000.0,9.23,300
LN-HM-00262,RET-00262,Home Loan,3850000.0,9.15,180
LN-HM-00263,RET-00263,Vehicle Loan,740000.0,10.0,84
LN-HM-00264,RET-00264,Home Loan,5910000.0,9.43,120
LN-HM-00265,RET-00265,Vehicle Loan,870000.0,10.2,60
LN-HM-00266,RET-00266,Vehicle Loan,360000.0,10.06,60
LN-HM-00267,RET-00267,Personal Loan,420000.0,12.32,36
LN-HM-00268,RET-00268,Personal Loan,290000.0,12.4,60
LN-HM-00269,RET-00269,Home Loan,1230000.0,8.81,300
LN-HM-00270,RET-00270,Vehicle Loan,3500000.0,10.34,72
LN-HM-00271,RET-00271,Vehicle Loan,770000.0,10.13,60
LN-HM-00272,RET-00272,Vehicle Loan,1770000.0,9.75,48
LN-HM-00273,RET-00273,Home Loan,5060000.0,9.26,240
LN-HM-00274,RET-00274,Home Loan,4150000.0,8.55,120
LN-HM-00275,RET-00275,Home Loan,18680000.0,9.28,300
LN-HM-00276,RET-00276,Home Loan,24280000.0,9.42,120
LN-HM-00277,RET-00277,Home Loan,8070000.0,8.7,240
LN-HM-00278,RET-00278,Vehicle Loan,470000.0,10.29,36
LN-HM-00279,RET-00279,Home Loan,6200000.0,8.73,180
LN-HM-00280,RET-00280,Home Loan,1290000.0,9.46,120
LN-HM-00281,RET-00281,Vehicle Loan,2460000.0,10.77,36
LN-HM-00282,RET-00282,Personal Loan,150000.0,12.89,48
LN-HM-00283,RET-00283,Personal Loan,650000.0,12.81,24
LN-HM-00284,RET-00284,Vehicle Loan,2580000.0,9.14,84
LN-HM-00285,RET-00285,Home Loan,4830000.0,8.62,300
LN-HM-00286,RET-00286,Vehicle Loan,370000.0,10.99,36
LN-HM-00287,RET-00287,Vehicle Loan,1350000.0,9.63,36
LN-HM-00288,RET-00288,Home Loan,5440000.0,9.44,120
LN-HM-00289,RET-00289,Personal Loan,1220000.0,11.1,12
LN-HM-00290,RET-00290,Home Loan,2470000.0,9.17,300
LN-HM-00291,RET-00291,Personal Loan,830000.0,13.95,12
LN-HM-00292,RET-00292,Home Loan,7030000.0,9.09,300
LN-HM-00293,RET-00293,Home Loan,3840000.0,8.88,240
LN-HM-00294,RET-00294,Home Loan,7570000.0,8.62,180
LN-HM-00295,RET-00295,Vehicle Loan,1100000.0,10.82,60
LN-HM-00296,RET-00296,Personal Loan,660000.0,11.64,12
LN-HM-00297,RET-00297,Personal Loan,2400000.0,13.85,24
LN-HM-00298,RET-00298,Personal Loan,860000.0,12.53,24
LN-HM-00299,RET-00299,Home Loan,2100000.0,9.19,180
LN-HM-00300,RET-00300,Personal Loan,550000.0,12.64,60
LN-HM-00301,RET-00301,Personal Loan,3160000.0,12.87,48
LN-HM-00302,RET-00302,Vehicle Loan,1120000.0,9.9,48
LN-HM-00303,RET-00303,Personal Loan,590000.0,13.04,24
LN-HM-00304,RET-00304,Personal Loan,820000.0,11.72,36
LN-HM-00305,RET-00305,Home Loan,6880000.0,8.78,180
LN-HM-00306,RET-00306,Vehicle Loan,2870000.0,10.13,48
LN-HM-00307,RET-00307,Personal Loan,1010000.0,12.3,60
LN-HM-00308,RET-00308,Home Loan,16530000.0,8.85,240
LN-HM-00309,RET-00309,Personal Loan,650000.0,11.35,24
LN-HM-00310,RET-00310,Home Loan,2520000.0,9.23,120
LN-HM-00311,RET-00311,Home Loan,3320000.0,9.37,120
LN-HM-00312,RET-00312,Home Loan,1640000.0,8.74,120
LN-HM-00313,RET-00313,Home Loan,4240000.0,9.02,300
LN-HM-00314,RET-00314,Personal Loan,430000.0,12.96,48
LN-HM-00315,RET-00315,Home Loan,990000.0,9.05,240
LN-HM-00316,RET-00316,Vehicle Loan,440000.0,9.64,48
LN-HM-00317,RET-00317,Vehicle Loan,1080000.0,9.82,48
LN-HM-00318,RET-00318,Home Loan,3460000.0,8.61,240
LN-HM-00319,RET-00319,Personal Loan,420000.0,13.26,36
LN-HM-00320,RET-00320,Home Loan,2870000.0,8.97,120
LN-HM-00321,RET-00321,Home Loan,3070000.0,8.69,180
LN-HM-00322,RET-00322,Personal Loan,870000.0,11.76,12
LN-HM-00323,RET-00323,Home Loan,1280000.0,8.81,180
LN-HM-00324,RET-00324,Home Loan,2960000.0,8.54,300
LN-HM-00325,RET-00325,Home Loan,2210000.0,9.48,240
LN-HM-00326,RET-00326,Home Loan,7570000.0,9.46,300
LN-HM-00327,RET-00327,Vehicle Loan,450000.0,10.98,48
LN-HM-00328,RET-00328,Personal Loan,1060000.0,11.61,48
LN-HM-00329,RET-00329,Personal Loan,350000.0,11.09,36
LN-HM-00330,RET-00330,Home Loan,2820000.0,9.01,120
LN-HM-00331,RET-00331,Vehicle Loan,680000.0,9.11,36
LN-HM-00332,RET-00332,Vehicle Loan,640000.0,10.46,84
LN-HM-00333,RET-00333,Vehicle Loan,1040000.0,9.09,48
LN-HM-00334,RET-00334,Home Loan,1690000.0,9.31,240
LN-HM-00335,RET-00335,Home Loan,9920000.0,8.91,240
LN-HM-00336,RET-00336,Vehicle Loan,1750000.0,9.83,72
LN-HM-00337,RET-00337,Personal Loan,1750000.0,12.79,36
LN-HM-00338,RET-00338,Home Loan,6440000.0,8.82,120
LN-HM-00339,RET-00339,Home Loan,3630000.0,9.4,240
LN-HM-00340,RET-00340,Home Loan,6830000.0,8.7,300
LN-HM-00341,RET-00341,Home Loan,3540000.0,9.31,120
LN-HM-00342,RET-00342,Personal Loan,3900000.0,12.6,12
LN-HM-00343,RET-00343,Home Loan,1490000.0,9.02,300
LN-HM-00344,RET-00344,Personal Loan,490000.0,13.85,24
LN-HM-00345,RET-00345,Personal Loan,210000.0,13.22,60
LN-HM-00346,RET-00346,Home Loan,1920000.0,9.09,240
LN-HM-00347,RET-00347,Home Loan,1470000.0,8.85,240
LN-HM-00348,RET-00348,Personal Loan,1240000.0,11.7,36
LN-HM-00349,RET-00349,Home Loan,7180000.0,8.75,300
LN-HM-00350,RET-00350,Vehicle Loan,1390000.0,10.94,72
LN-HM-00351,RET-00351,Home Loan,1740000.0,8.89,240
LN-HM-00352,RET-00352,Home Loan,2900000.0,8.55,180
LN-HM-00353,RET-00353,Home Loan,6910000.0,8.79,300
LN-HM-00354,RET-00354,Home Loan,2940000.0,9.02,120
LN-HM-00355,RET-00355,Personal Loan,390000.0,12.32,36
LN-HM-00356,RET-00356,Home Loan,1510000.0,9.37,180
LN-HM-00357,RET-00357,Home Loan,2500000.0,9.13,120
LN-HM-00358,RET-00358,Personal Loan,270000.0,11.78,24
LN-HM-00359,RET-00359,Home Loan,3200000.0,9.31,300
LN-HM-00360,RET-00360,Vehicle Loan,1050000.0,10.38,72
LN-HM-00361,RET-00361,Home Loan,2350000.0,9.17,300
LN-HM-00362,RET-00362,Personal Loan,860000.0,13.4,12
LN-HM-00363,RET-00363,Home Loan,4950000.0,9.38,240
LN-HM-00364,RET-00364,Personal Loan,310000.0,11.89,12
LN-HM-00365,RET-00365,Home Loan,10490000.0,9.47,240
LN-HM-00366,RET-00366,Home Loan,2460000.0,8.86,300
LN-HM-00367,RET-00367,Personal Loan,820000.0,11.27,60
LN-HM-00368,RET-00368,Vehicle Loan,590000.0,10.34,84
LN-HM-00369,RET-00369,Vehicle Loan,980000.0,9.33,60
LN-HM-00370,RET-00370,Home Loan,2440000.0,8.62,180
LN-HM-00371,RET-00371,Home Loan,9500000.0,9.47,300
LN-HM-00372,RET-00372,Home Loan,3790000.0,9.26,240
LN-HM-00373,RET-00373,Vehicle Loan,2240000.0,9.6,48
LN-HM-00374,RET-00374,Vehicle Loan,960000.0,9.89,84
LN-HM-00375,RET-00375,Home Loan,9670000.0,8.67,180
LN-HM-00376,RET-00376,Home Loan,1270000.0,9.38,120
LN-HM-00377,RET-00377,Personal Loan,960000.0,13.72,60
LN-HM-00378,RET-00378,Home Loan,1300000.0,9.45,180
LN-HM-00379,RET-00379,Personal Loan,740000.0,13.54,12
LN-HM-00380,RET-00380,Home Loan,5530000.0,8.64,300
LN-HM-00381,RET-00381,Home Loan,5640000.0,8.93,120
LN-HM-00382,RET-00382,Personal Loan,1150000.0,11.79,12
LN-HM-00383,RET-00383,Vehicle Loan,1160000.0,10.93,36
LN-HM-00384,RET-00384,Home Loan,3760000.0,8.75,120
LN-HM-00385,RET-00385,Home Loan,11190000.0,9.49,240
LN-HM-00386,RET-00386,Personal Loan,950000.0,13.25,12
LN-HM-00387,RET-00387,Personal Loan,1140000.0,13.14,24
LN-HM-00388,RET-00388,Vehicle Loan,900000.0,9.06,72
LN-HM-00389,RET-00389,Personal Loan,1640000.0,12.87,24
LN-HM-00390,RET-00390,Home Loan,4000000.0,9.28,300
LN-HM-00391,RET-00391,Home Loan,1640000.0,8.7,120
LN-HM-00392,RET-00392,Personal Loan,1030000.0,11.9,48
LN-HM-00393,RET-00393,Vehicle Loan,2280000.0,10.4,84
LN-HM-00394,RET-00394,Vehicle Loan,1990000.0,9.52,84
LN-HM-00395,RET-00395,Personal Loan,860000.0,12.33,48
LN-HM-00396,RET-00396,Home Loan,8490000.0,9.26,300
LN-HM-00397,RET-00397,Personal Loan,230000.0,11.79,60
LN-HM-00398,RET-00398,Home Loan,3450000.0,8.77,240
LN-HM-00399,RET-00399,Home Loan,2680000.0,9.08,240
LN-HM-00400,RET-00400,Home Loan,8760000.0,9.13,240
LN-HM-00401,RET-00401,Personal Loan,470000.0,12.64,48
LN-HM-00402,RET-00402,Vehicle Loan,1490000.0,9.9,36
LN-HM-00403,RET-00403,Vehicle Loan,650000.0,10.41,48
LN-HM-00404,RET-00404,Personal Loan,970000.0,12.54,24
LN-HM-00405,RET-00405,Personal Loan,1280000.0,12.81,12
LN-HM-00406,RET-00406,Personal Loan,410000.0,12.92,48
LN-HM-00407,RET-00407,Home Loan,5470000.0,9.05,180
LN-HM-00408,RET-00408,Personal Loan,530000.0,13.52,60
LN-HM-00409,RET-00409,Home Loan,1540000.0,8.85,300
LN-HM-00410,RET-00410,Personal Loan,840000.0,13.47,12
LN-HM-00411,RET-00411,Personal Loan,2030000.0,11.39,24
LN-HM-00412,RET-00412,Personal Loan,1390000.0,12.25,24
LN-HM-00413,RET-00413,Vehicle Loan,430000.0,9.24,60
