COLLATERAL_ID,LOAN_ID,SECURITY_TYPE,ASSESSED_VAL
COL-00049,LN-HM-00049,Mortgage,2870000.0
COL-00050,LN-HM-00050,None,0.0
COL-00051,LN-HM-00051,None,0.0
COL-00052,LN-HM-00052,Mortgage,1530000.0
COL-00053,LN-HM-00053,None,0.0
COL-00054,LN-HM-00054,Mortgage,4750000.0
COL-00055,LN-HM-00055,None,0.0
COL-00056,LN-HM-00056,None,0.0
COL-00057,LN-HM-00057,Mortgage,13000000.0
COL-00058,LN-HM-00058,None,0.0
COL-00059,LN-HM-00059,Mortgage,3800000.0
COL-00060,LN-HM-00060,Hypothecation,1370000.0
COL-00061,LN-HM-00061,Mortgage,17690000.0
COL-00062,LN-HM-00062,Mortgage,5180000.0
COL-00063,LN-HM-00063,Mortgage,4690000.0
COL-00064,LN-HM-00064,Mortgage,6190000.0
COL-00065,LN-HM-00065,Hypothecation,2080000.0
COL-00066,LN-HM-00066,None,0.0
COL-00067,LN-HM-00067,Mortgage,9700000.0
COL-00068,LN-HM-00068,Hypothecation,3200000.0
COL-00069,LN-HM-00069,Mortgage,1690000.0
COL-00070,LN-HM-00070,Mortgage,3620000.0
COL-00071,LN-HM-00071,Hypothecation,940000.0
COL-00072,LN-HM-00072,Hypothecation,2490000.0
COL-00073,LN-HM-00073,Mortgage,13310000.0
COL-00074,LN-HM-00074,Hypothecation,5820000.0
COL-00075,LN-HM-00075,Mortgage,1690000.0
COL-00076,LN-HM-00076,Mortgage,4810000.0
COL-00077,LN-HM-00077,Mortgage,3810000.0
COL-00078,LN-HM-00078,Hypothecation,970000.0
COL-00079,LN-HM-00079,None,0.0
COL-00080,LN-HM-00080,None,0.0
COL-00081,LN-HM-00081,Mortgage,12980000.0
COL-00082,LN-HM-00082,Mortgage,3680000.0
COL-00083,LN-HM-00083,None,0.0
COL-00084,LN-HM-00084,Mortgage,4300000.0
COL-00085,LN-HM-00085,None,0.0
COL-00086,LN-HM-00086,None,0.0
COL-00087,LN-HM-00087,Mortgage,4250000.0
COL-00088,LN-HM-00088,None,0.0
COL-00089,LN-HM-00089,None,0.0
COL-00090,LN-HM-00090,Mortgage,3680000.0
COL-00091,LN-HM-00091,None,0.0
COL-00092,LN-HM-00092,Mortgage,2730000.0
COL-00093,LN-HM-00093,Hypothecation,1670000.0
COL-00094,LN-HM-00094,Mortgage,4360000.0
COL-00095,LN-HM-00095,Mortgage,4560000.0
COL-00096,LN-HM-00096,Hypothecation,630000.0
COL-00097,LN-HM-00097,None,0.0
COL-00098,LN-HM-00098,Hypothecation,2600000.0
COL-00099,LN-HM-00099,Hypothecation,2440000.0
COL-00100,LN-HM-00100,Mortgage,9790000.0
COL-00101,LN-HM-00101,Mortgage,7730000.0
COL-00102,LN-HM-00102,Hypothecation,540000.0
COL-00103,LN-HM-00103,Hypothecation,880000.0
COL-00104,LN-HM-00104,Mortgage,2130000.0
COL-00105,LN-HM-00105,Hypothecation,960000.0
COL-00106,LN-HM-00106,None,0.0
COL-00107,LN-HM-00107,Mortgage,3080000.0
COL-00108,LN-HM-00108,Mortgage,2040000.0
COL-00109,LN-HM-00109,None,0.0
COL-00110,LN-HM-00110,None,0.0
COL-00111,LN-HM-00111,Mortgage,1840000.0
COL-00112,LN-HM-00112,Mortgage,5300000.0
COL-00113,LN-HM-00113,Hypothecation,2130000.0
COL-00114,LN-HM-00114,Hypothecation,1340000.0
COL-00115,LN-HM-00115,None,0.0
COL-00116,LN-HM-00116,Mortgage,5810000.0
COL-00117,LN-HM-00117,Mortgage,14020000.0
COL-00118,LN-HM-00118,None,0.0
COL-00119,LN-HM-00119,Mortgage,11880000.0
COL-00120,LN-HM-00120,None,0.0
COL-00121,LN-HM-00121,Mortgage,10090000.0
COL-00122,LN-HM-00122,Hypothecation,2870000.0
COL-00123,LN-HM-00123,Mortgage,4150000.0
COL-00124,LN-HM-00124,Hypothecation,870000.0
COL-00125,LN-HM-00125,Mortgage,4200000.0
COL-00126,LN-HM-00126,None,0.0
COL-00127,LN-HM-00127,None,0.0
COL-00128,LN-HM-00128,Mortgage,3780000.0
COL-00129,LN-HM-00129,Hypothecation,2790000.0
COL-00130,LN-HM-00130,Mortgage,5840000.0
COL-00131,LN-HM-00131,Mortgage,1480000.0
COL-00132,LN-HM-00132,Mortgage,1830000.0
COL-00133,LN-HM-00133,Mortgage,14770000.0
COL-00134,LN-HM-00134,Mortgage,9460000.0
COL-00135,LN-HM-00135,Hypothecation,900000.0
COL-00136,LN-HM-00136,Mortgage,1360000.0
COL-00137,LN-HM-00137,None,0.0
COL-00138,LN-HM-00138,None,0.0
COL-00139,LN-HM-00139,Hypothecation,4720000.0
COL-00140,LN-HM-00140,Mortgage,13180000.0
COL-00141,LN-HM-00141,Hypothecation,730000.0
COL-00142,LN-HM-00142,Hypothecation,960000.0
COL-00143,LN-HM-00143,Mortgage,2740000.0
COL-00144,LN-HM-00144,Mortgage,3990000.0
COL-00145,LN-HM-00145,Hypothecation,530000.0
COL-00146,LN-HM-00146,Mortgage,2840000.0
COL-00147,LN-HM-00147,Hypothecation,940000.0
COL-00148,LN-HM-00148,Mortgage,9100000.0
COL-00149,LN-HM-00149,Mortgage,2590000.0
COL-00150,LN-HM-00150,None,0.0
COL-00151,LN-HM-00151,None,0.0
COL-00152,LN-HM-00152,Mortgage,10870000.0
COL-00153,LN-HM-00153,None,0.0
COL-00154,LN-HM-00154,Hypothecation,2280000.0
COL-00155,LN-HM-00155,Hypothecation,1180000.0
COL-00156,LN-HM-00156,None,0.0
COL-00157,LN-HM-00157,Mortgage,9180000.0
COL-00158,LN-HM-00158,None,0.0
COL-00159,LN-HM-00159,Hypothecation,770000.0
COL-00160,LN-HM-00160,Mortgage,6970000.0
COL-00161,LN-HM-00161,Hypothecation,1280000.0
COL-00162,LN-HM-00162,None,0.0
COL-00163,LN-HM-00163,None,0.0
COL-00164,LN-HM-00164,Mortgage,5390000.0
COL-00165,LN-HM-00165,Mortgage,1350000.0
COL-00166,LN-HM-00166,Hypothecation,1040000.0
COL-00167,LN-HM-00167,None,0.0
COL-00168,LN-HM-00168,None,0.0
COL-00169,LN-HM-00169,Hypothecation,970000.0
COL-00170,LN-HM-00170,Mortgage,2470000.0
COL-00171,LN-HM-00171,Mortgage,9280000.0
COL-00172,LN-HM-00172,Mortgage,1370000.0
COL-00173,LN-HM-00173,None,0.0
COL-00174,LN-HM-00174,Hypothecation,860000.0
COL-00175,LN-HM-00175,Mortgage,13410000.0
COL-00176,LN-HM-00176,None,0.0
COL-00177,LN-HM-00177,Mortgage,1340000.0
COL-00178,LN-HM-00178,Mortgage,5430000.0
COL-00179,LN-HM-00179,Hypothecation,640000.0
COL-00180,LN-HM-00180,None,0.0
COL-00181,LN-HM-00181,None,0.0
COL-00182,LN-HM-00182,None,0.0
COL-00183,LN-HM-00183,None,0.0
COL-00184,LN-HM-00184,Mortgage,7030000.0
COL-00185,LN-HM-00185,Mortgage,6100000.0
COL-00186,LN-HM-00186,Mortgage,3510000.0
COL-00187,LN-HM-00187,None,0.0
COL-00188,LN-HM-00188,None,0.0
COL-00189,LN-HM-00189,Mortgage,4160000.0
COL-00190,LN-HM-00190,Hypothecation,1310000.0
COL-00191,LN-HM-00191,Mortgage,6360000.0
COL-00192,LN-HM-00192,Mortgage,2600000.0
COL-00193,LN-HM-00193,Mortgage,3640000.0
COL-00194,LN-HM-00194,Hypothecation,1630000.0
COL-00195,LN-HM-00195,Hypothecation,3040000.0
COL-00196,LN-HM-00196,Hypothecation,800000.0
COL-00197,LN-HM-00197,Hypothecation,1000000.0
COL-00198,LN-HM-00198,Mortgage,2490000.0
COL-00199,LN-HM-00199,Mortgage,1420000.0
COL-00200,LN-HM-00200,Mortgage,5200000.0
COL-00201,LN-HM-00201,Mortgage,4380000.0
COL-00202,LN-HM-00202,None,0.0
COL-00203,LN-HM-00203,Mortgage,15350000.0
COL-00204,LN-HM-00204,Hypothecation,410000.0
COL-00205,LN-HM-00205,None,0.0
COL-00206,LN-HM-00206,None,0.0
COL-00207,LN-HM-00207,Mortgage,3450000.0
COL-00208,LN-HM-00208,None,0.0
COL-00209,LN-HM-00209,None,0.0
COL-00210,LN-HM-00210,Mortgage,5070000.0
COL-00211,LN-HM-00211,Mortgage,14690000.0
COL-00212,LN-HM-00212,None,0.0
COL-00213,LN-HM-00213,Mortgage,2900000.0
COL-00214,LN-HM-00214,Mortgage,2230000.0
COL-00215,LN-HM-00215,Mortgage,3450000.0
COL-00216,LN-HM-00216,Mortgage,3930000.0
COL-00217,LN-HM-00217,None,0.0
COL-00218,LN-HM-00218,Mortgage,2670000.0
COL-00219,LN-HM-00219,Hypothecation,1560000.0
COL-00220,LN-HM-00220,Mortgage,2720000.0
COL-00221,LN-HM-00221,Mortgage,1350000.0
COL-00222,LN-HM-00222,Mortgage,3650000.0
COL-00223,LN-HM-00223,Mortgage,3980000.0
COL-00224,LN-HM-00224,None,0.0
COL-00225,LN-HM-00225,Mortgage,4640000.0
COL-00226,LN-HM-00226,Mortgage,7270000.0
COL-00227,LN-HM-00227,None,0.0
COL-00228,LN-HM-00228,Mortgage,6870000.0
COL-00229,LN-HM-00229,None,0.0
COL-00230,LN-HM-00230,Mortgage,7620000.0
COL-00231,LN-HM-00231,Mortgage,6570000.0
COL-00232,LN-HM-00232,Hypothecation,1920000.0
COL-00233,LN-HM-00233,Mortgage,11930000.0
COL-00234,LN-HM-00234,Mortgage,2290000.0
COL-00235,LN-HM-00235,None,0.0
COL-00236,LN-HM-00236,Mortgage,10030000.0
COL-00237,LN-HM-00237,None,0.0
COL-00238,LN-HM-00238,Mortgage,12060000.0
COL-00239,LN-HM-00239,Mortgage,3680000.0
COL-00240,LN-HM-00240,None,0.0
COL-00241,LN-HM-00241,Mortgage,5770000.0
COL-00242,LN-HM-00242,Mortgage,1930000.0
COL-00243,LN-HM-00243,Mortgage,6280000.0
COL-00244,LN-HM-00244,Mortgage,6760000.0
COL-00245,LN-HM-00245,Mortgage,5130000.0
COL-00246,LN-HM-00246,None,0.0
COL-00247,LN-HM-00247,Mortgage,3390000.0
COL-00248,LN-HM-00248,None,0.0
COL-00249,LN-HM-00249,Hypothecation,3510000.0
COL-00250,LN-HM-00250,Mortgage,10180000.0
COL-00251,LN-HM-00251,Mortgage,6860000.0
COL-00252,LN-HM-00252,Mortgage,3530000.0
COL-00253,LN-HM-00253,Mortgage,4250000.0
COL-00254,LN-HM-00254,Mortgage,2840000.0
COL-00255,LN-HM-00255,None,0.0
COL-00256,LN-HM-00256,None,0.0
COL-00257,LN-HM-00257,Mortgage,3810000.0
COL-00258,LN-HM-00258,Hypothecation,1720000.0
COL-00259,LN-HM-00259,Mortgage,2350000.0
COL-00260,LN-HM-00260,Hypothecation,2220000.0
COL-00261,LN-HM-00261,Mortgage,4570000.0
COL-00262,LN-HM-00262,Mortgage,5620000.0
COL-00263,LN-HM-00263,Hypothecation,820000.0
COL-00264,LN-HM-00264,Mortgage,8670000.0
COL-00265,LN-HM-00265,Hypothecation,1090000.0
COL-00266,LN-HM-00266,Hypothecation,490000.0
COL-00267,LN-HM-00267,None,0.0
COL-00268,LN-HM-00268,None,0.0
COL-00269,LN-HM-00269,Mortgage,1670000.0
COL-00270,LN-HM-00270,Hypothecation,3840000.0
COL-00271,LN-HM-00271,Hypothecation,820000.0
COL-00272,LN-HM-00272,Hypothecation,1900000.0
COL-00273,LN-HM-00273,Mortgage,6550000.0
COL-00274,LN-HM-00274,Mortgage,5010000.0
COL-00275,LN-HM-00275,Mortgage,21050000.0
COL-00276,LN-HM-00276,Mortgage,25820000.0
COL-00277,LN-HM-00277,Mortgage,10900000.0
COL-00278,LN-HM-00278,Hypothecation,520000.0
COL-00279,LN-HM-00279,Mortgage,8600000.0
COL-00280,LN-HM-00280,Mortgage,1510000.0
COL-00281,LN-HM-00281,Hypothecation,2680000.0
COL-00282,LN-HM-00282,None,0.0
COL-00283,LN-HM-00283,None,0.0
COL-00284,LN-HM-00284,Hypothecation,2840000.0
COL-00285,LN-HM-00285,Mortgage,6510000.0
COL-00286,LN-HM-00286,Hypothecation,490000.0
COL-00287,LN-HM-00287,Hypothecation,1440000.0
COL-00288,LN-HM-00288,Mortgage,7230000.0
COL-00289,LN-HM-00289,None,0.0
COL-00290,LN-HM-00290,Mortgage,3540000.0
COL-00291,LN-HM-00291,None,0.0
COL-00292,LN-HM-00292,Mortgage,8860000.0
COL-00293,LN-HM-00293,Mortgage,4250000.0
COL-00294,LN-HM-00294,Mortgage,8460000.0
COL-00295,LN-HM-00295,Hypothecation,1170000.0
COL-00296,LN-HM-00296,None,0.0
COL-00297,LN-HM-00297,None,0.0
COL-00298,LN-HM-00298,None,0.0
COL-00299,LN-HM-00299,Mortgage,2860000.0
COL-00300,LN-HM-00300,None,0.0
COL-00301,LN-HM-00301,None,0.0
COL-00302,LN-HM-00302,Hypothecation,1280000.0
COL-00303,LN-HM-00303,None,0.0
COL-00304,LN-HM-00304,None,0.0
COL-00305,LN-HM-00305,Mortgage,7580000.0
COL-00306,LN-HM-00306,Hypothecation,3820000.0
COL-00307,LN-HM-00307,None,0.0
COL-00308,LN-HM-00308,Mortgage,17930000.0
COL-00309,LN-HM-00309,None,0.0
COL-00310,LN-HM-00310,Mortgage,3650000.0
COL-00311,LN-HM-00311,Mortgage,4380000.0
COL-00312,LN-HM-00312,Mortgage,2140000.0
COL-00313,LN-HM-00313,Mortgage,4610000.0
COL-00314,LN-HM-00314,None,0.0
COL-00315,LN-HM-00315,Mortgage,1380000.0
COL-00316,LN-HM-00316,Hypothecation,470000.0
COL-00317,LN-HM-00317,Hypothecation,1150000.0
COL-00318,LN-HM-00318,Mortgage,4900000.0
COL-00319,LN-HM-00319,None,0.0
COL-00320,LN-HM-00320,Mortgage,4140000.0
COL-00321,LN-HM-00321,Mortgage,3930000.0
COL-00322,LN-HM-00322,None,0.0
COL-00323,LN-HM-00323,Mortgage,1390000.0
COL-00324,LN-HM-00324,Mortgage,4090000.0
COL-00325,LN-HM-00325,Mortgage,2730000.0
COL-00326,LN-HM-00326,Mortgage,10880000.0
COL-00327,LN-HM-00327,Hypothecation,520000.0
COL-00328,LN-HM-00328,None,0.0
COL-00329,LN-HM-00329,None,0.0
COL-00330,LN-HM-00330,Mortgage,3350000.0
COL-00331,LN-HM-00331,Hypothecation,1050000.0
COL-00332,LN-HM-00332,Hypothecation,700000.0
COL-00333,LN-HM-00333,Hypothecation,1280000.0
COL-00334,LN-HM-00334,Mortgage,2060000.0
COL-00335,LN-HM-00335,Mortgage,11820000.0
COL-00336,LN-HM-00336,Hypothecation,2040000.0
COL-00337,LN-HM-00337,None,0.0
COL-00338,LN-HM-00338,Mortgage,7490000.0
COL-00339,LN-HM-00339,Mortgage,5000000.0
COL-00340,LN-HM-00340,Mortgage,10490000.0
COL-00341,LN-HM-00341,Mortgage,4590000.0
COL-00342,LN-HM-00342,None,0.0
COL-00343,LN-HM-00343,Mortgage,2250000.0
COL-00344,LN-HM-00344,None,0.0
COL-00345,LN-HM-00345,None,0.0
COL-00346,LN-HM-00346,Mortgage,2420000.0
COL-00347,LN-HM-00347,Mortgage,2160000.0
COL-00348,LN-HM-00348,None,0.0
COL-00349,LN-HM-00349,Mortgage,9460000.0
COL-00350,LN-HM-00350,Hypothecation,1700000.0
COL-00351,LN-HM-00351,Mortgage,2030000.0
COL-00352,LN-HM-00352,Mortgage,3810000.0
COL-00353,LN-HM-00353,Mortgage,7730000.0
COL-00354,LN-HM-00354,Mortgage,3940000.0
COL-00355,LN-HM-00355,None,0.0
COL-00356,LN-HM-00356,Mortgage,2200000.0
COL-00357,LN-HM-00357,Mortgage,3270000.0
COL-00358,LN-HM-00358,None,0.0
COL-00359,LN-HM-00359,Mortgage,3750000.0
COL-00360,LN-HM-00360,Hypothecation,1130000.0
COL-00361,LN-HM-00361,Mortgage,3180000.0
COL-00362,LN-HM-00362,None,0.0
COL-00363,LN-HM-00363,Mortgage,5810000.0
COL-00364,LN-HM-00364,None,0.0
COL-00365,LN-HM-00365,Mortgage,13680000.0
COL-00366,LN-HM-00366,Mortgage,2850000.0
COL-00367,LN-HM-00367,None,0.0
COL-00368,LN-HM-00368,Hypothecation,850000.0
COL-00369,LN-HM-00369,Hypothecation,1070000.0
COL-00370,LN-HM-00370,Mortgage,2780000.0
COL-00371,LN-HM-00371,Mortgage,14430000.0
COL-00372,LN-HM-00372,Mortgage,5200000.0
COL-00373,LN-HM-00373,Hypothecation,2480000.0
COL-00374,LN-HM-00374,Hypothecation,1130000.0
COL-00375,LN-HM-00375,Mortgage,14760000.0
COL-00376,LN-HM-00376,Mortgage,1620000.0
COL-00377,LN-HM-00377,None,0.0
COL-00378,LN-HM-00378,Mortgage,1530000.0
COL-00379,LN-HM-00379,None,0.0
COL-00380,LN-HM-00380,Mortgage,7680000.0
COL-00381,LN-HM-00381,Mortgage,6660000.0
COL-00382,LN-HM-00382,None,0.0
COL-00383,LN-HM-00383,Hypothecation,1230000.0
COL-00384,LN-HM-00384,Mortgage,4380000.0
COL-00385,LN-HM-00385,Mortgage,14720000.0
COL-00386,LN-HM-00386,None,0.0
COL-00387,LN-HM-00387,None,0.0
COL-00388,LN-HM-00388,Hypothecation,1060000.0
COL-00389,LN-HM-00389,None,0.0
COL-00390,LN-HM-00390,Mortgage,4960000.0
COL-00391,LN-HM-00391,Mortgage,2130000.0
COL-00392,LN-HM-00392,None,0.0
COL-00393,LN-HM-00393,Hypothecation,3260000.0
COL-00394,LN-HM-00394,Hypothecation,2300000.0
COL-00395,LN-HM-00395,None,0.0
COL-00396,LN-HM-00396,Mortgage,9170000.0
COL-00397,LN-HM-00397,None,0.0
COL-00398,LN-HM-00398,Mortgage,4270000.0
COL-00399,LN-HM-00399,Mortgage,3170000.0
COL-00400,LN-HM-00400,Mortgage,11930000.0
COL-00401,LN-HM-00401,None,0.0
COL-00402,LN-HM-00402,Hypothecation,1660000.0
COL-00403,LN-HM-00403,Hypothecation,820000.0
COL-00404,LN-HM-00404,None,0.0
COL-00405,LN-HM-00405,None,0.0
COL-00406,LN-HM-00406,None,0.0
COL-00407,LN-HM-00407,Mortgage,7560000.0
COL-00408,LN-HM-00408,None,0.0
COL-00409,LN-HM-00409,Mortgage,1760000.0
COL-00410,LN-HM-00410,None,0.0
COL-00411,LN-HM-00411,None,0.0
COL-00412,LN-HM-00412,None,0.0
COL-00413,LN-HM-00413,Hypothecation,470000.0
COL-00414,LN-HM-00414,Mortgage,2080000.0
COL-00415,LN-HM-00415,Hypothecation,2220000.0
COL-00416,LN-HM-00416,None,0.0
COL-00417,LN-HM-00417,Mortgage,4470000.0
COL-00418,LN-HM-00418,Hypothecation,1180000.0
COL-00419,LN-HM-00419,None,0.0
COL-00420,LN-HM-00420,Mortgage,3950000.0
COL-00421,LN-HM-00421,Mortgage,1940000.0
COL-00422,LN-HM-00422,Mortgage,14220000.0
COL-00423,LN-HM-00423,Mortgage,4730000.0
COL-00424,LN-HM-00424,Mortgage,3750000.0
COL-00425,LN-HM-00425,Mortgage,3340000.0
COL-00426,LN-HM-00426,None,0.0
COL-00427,LN-HM-00427,Mortgage,4400000.0
COL-00428,LN-HM-00428,None,0.0
COL-00429,LN-HM-00429,Mortgage,3150000.0
COL-00430,LN-HM-00430,Mortgage,7400000.0
COL-00431,LN-HM-00431,None,0.0
COL-00432,LN-HM-00432,None,0.0
COL-00433,LN-HM-00433,None,0.0
COL-00434,LN-HM-00434,None,0.0
COL-00435,LN-HM-00435,Mortgage,1860000.0
COL-00436,LN-HM-00436,None,0.0
COL-00437,LN-HM-00437,Mortgage,10890000.0
COL-00438,LN-HM-00438,Hypothecation,1660000.0
COL-00439,LN-HM-00439,Mortgage,6630000.0
COL-00440,LN-HM-00440,Mortgage,4430000.0
COL-00441,LN-HM-00441,None,0.0
COL-00442,LN-HM-00442,Mortgage,2230000.0
COL-00443,LN-HM-00443,None,0.0
COL-00444,LN-HM-00444,Mortgage,4390000.0
COL-00445,LN-HM-00445,Mortgage,5150000.0
COL-00446,LN-HM-00446,None,0.0
COL-00447,LN-HM-00447,Hypothecation,620000.0
COL-00448,LN-HM-00448,Mortgage,7110000.0
COL-00449,LN-HM-00449,Mortgage,2670000.0
COL-00450,LN-HM-00450,Hypothecation,1660000.0
COL-00451,LN-HM-00451,None,0.0
COL-00452,LN-HM-00452,Mortgage,6090000.0
COL-00453,LN-HM-00453,Mortgage,3350000.0
COL-00454,LN-HM-00454,Hypothecation,660000.0
COL-00455,LN-HM-00455,Hypothecation,3510000.0
COL-00456,LN-HM-00456,Hypothecation,1340000.0
COL-00457,LN-HM-00457,Mortgage,2450000.0
COL-00458,LN-HM-00458,Hypothecation,2010000.0
COL-00459,LN-HM-00459,Hypothecation,1410000.0
COL-00460,LN-HM-00460,Hypothecation,1250000.0
COL-00461,LN-HM-00461,Mortgage,2060000.0
COL-00462,LN-HM-00462,Mortgage,4420000.0
COL-00463,LN-HM-00463,None,0.0
COL-00464,LN-HM-00464,Hypothecation,1460000.0
COL-00465,LN-HM-00465,None,0.0
COL-00466,LN-HM-00466,Mortgage,2660000.0
COL-00467,LN-HM-00467,Hypothecation,1110000.0
COL-00468,LN-HM-00468,Mortgage,1690000.0
COL-00469,LN-HM-00469,None,0.0
COL-00470,LN-HM-00470,None,0.0
COL-00471,LN-HM-00471,None,0.0
COL-00472,LN-HM-00472,Mortgage,3100000.0
COL-00473,LN-HM-00473,None,0.0
COL-00474,LN-HM-00474,Mortgage,1600000.0
COL-00475,LN-HM-00475,Mortgage,6000000.0
COL-00476,LN-HM-00476,None,0.0
COL-00477,LN-HM-00477,None,0.0
COL-00478,LN-HM-00478,None,0.0
COL-00479,LN-HM-00479,Hypothecation,820000.0
COL-00480,LN-HM-00480,Mortgage,13930000.0
COL-00481,LN-HM-00481,Mortgage,2610000.0
COL-00482,LN-HM-00482,Mortgage,3750000.0
COL-00483,LN-HM-00483,None,0.0
COL-00484,LN-HM-00484,Mortgage,3380000.0
COL-00485,LN-HM-00485,None,0.0
COL-00486,LN-HM-00486,None,0.0
COL-00487,LN-HM-00487,Mortgage,4130000.0
COL-00488,LN-HM-00488,Mortgage,3360000.0
COL-00489,LN-HM-00489,Mortgage,3360000.0
COL-00490,LN-HM-00490,Hypothecation,990000.0
COL-00491,LN-HM-00491,None,0.0
COL-00492,LN-HM-00492,Mortgage,2320000.0
COL-00493,LN-HM-00493,Mortgage,6690000.0
COL-00494,LN-HM-00494,Mortgage,8720000.0
COL-00495,LN-HM-00495,Hypothecation,800000.0
COL-00496,LN-HM-00496,Mortgage,1700000.0
COL-00497,LN-HM-00497,Mortgage,2770000.0
COL-00498,LN-HM-00498,Hypothecation,2900000.0
COL-00499,LN-HM-00499,Hypothecation,750000.0
COL-00500,LN-HM-00500,None,0.0
COL-00501,LN-HM-00501,None,0.0
COL-00502,LN-HM-00502,None,0.0
COL-00503,LN-HM-00503,Hypothecation,5550000.0
COL-00504,LN-HM-00504,Mortgage,9400000.0
COL-00505,LN-HM-00505,Hypothecation,700000.0
COL-00506,LN-HM-00506,Mortgage,1360000.0
COL-00507,LN-HM-00507,Mortgage,3550000.0
COL-00508,LN-HM-00508,None,0.0
COL-00509,LN-HM-00509,Mortgage,5530000.0
COL-00510,LN-HM-00510,None,0.0
COL-00511,LN-HM-00511,None,0.0
COL-00512,LN-HM-00512,Hypothecation,1880000.0
COL-00513,LN-HM-00513,None,0.0
COL-00514,LN-HM-00514,Mortgage,3980000.0
COL-00515,LN-HM-00515,Mortgage,6260000.0
COL-00516,LN-HM-00516,None,0.0
COL-00517,LN-HM-00517,Mortgage,2900000.0
COL-00518,LN-HM-00518,Mortgage,3860000.0
COL-00519,LN-HM-00519,Mortgage,5200000.0
COL-00520,LN-HM-00520,Mortgage,3460000.0
COL-00521,LN-HM-00521,Mortgage,7050000.0
COL-00522,LN-HM-00522,Hypothecation,1170000.0
COL-00523,LN-HM-00523,Mortgage,4900000.0
COL-00524,LN-HM-00524,None,0.0
COL-00525,LN-HM-00525,Mortgage,4340000.0
COL-00526,LN-HM-00526,Mortgage,2470000.0
COL-00527,LN-HM-00527,Mortgage,4230000.0
COL-00528,LN-HM-00528,Mortgage,1340000.0
COL-00529,LN-HM-00529,Mortgage,7120000.0
COL-00530,LN-HM-00530,None,0.0
COL-00531,LN-HM-00531,Mortgage,10090000.0
COL-00532,LN-HM-00532,Mortgage,12270000.0
COL-00533,LN-HM-00533,Mortgage,7300000.0
COL-00534,LN-HM-00534,Mortgage,1910000.0
COL-00535,LN-HM-00535,None,0.0
COL-00536,LN-HM-00536,Mortgage,2770000.0
COL-00537,LN-HM-00537,Mortgage,2990000.0
COL-00538,LN-HM-00538,Mortgage,8180000.0
COL-00539,LN-HM-00539,None,0.0
COL-00540,LN-HM-00540,None,0.0
COL-00541,LN-HM-00541,None,0.0
COL-00542,LN-HM-00542,Mortgage,2430000.0
COL-00543,LN-HM-00543,Hypothecation,1550000.0
COL-00544,LN-HM-00544,None,0.0
COL-00545,LN-HM-00545,Mortgage,2780000.0
COL-00546,LN-HM-00546,None,0.0
COL-00547,LN-HM-00547,Hypothecation,480000.0
COL-00548,LN-HM-00548,Mortgage,2560000.0
