BUREAU_ID,CUSTOMER_ID,CREDIT_SCORE,ACTIVE_LINES,INQUIRIES_6M
BUR-00116,RET-00116,608,1,0
BUR-00117,RET-00117,833,0,0
BUR-00118,RET-00118,694,1,0
BUR-00119,RET-00119,672,4,0
BUR-00120,RET-00120,785,1,1
BUR-00121,RET-00121,691,1,0
BUR-00122,RET-00122,754,3,1
BUR-00123,RET-00123,766,3,0
BUR-00124,RET-00124,798,2,0
BUR-00125,RET-00125,848,4,1
BUR-00126,RET-00126,844,1,1
BUR-00127,RET-00127,770,2,1
BUR-00128,RET-00128,800,3,1
BUR-00129,RET-00129,826,4,1
BUR-00130,RET-00130,673,4,0
BUR-00131,RET-00131,796,0,0
BUR-00132,RET-00132,744,3,0
BUR-00133,RET-00133,841,4,0
BUR-00134,RET-00134,799,3,0
BUR-00135,RET-00135,790,0,0
BUR-00136,RET-00136,731,2,0
BUR-00137,RET-00137,713,1,1
BUR-00138,RET-00138,749,1,1
BUR-00139,RET-00139,824,1,1
BUR-00140,RET-00140,822,4,0
BUR-00141,RET-00141,886,2,1
BUR-00142,RET-00142,771,5,0
BUR-00143,RET-00143,834,3,1
BUR-00144,RET-00144,661,2,0
BUR-00145,RET-00145,666,1,0
BUR-00146,RET-00146,834,3,0
BUR-00147,RET-00147,785,6,0
BUR-00148,RET-00148,855,1,1
BUR-00149,RET-00149,761,3,1
BUR-00150,RET-00150,887,1,0
BUR-00151,RET-00151,687,1,1
BUR-00152,RET-00152,727,6,0
BUR-00153,RET-00153,854,2,1
BUR-00154,RET-00154,374,4,0
BUR-00155,RET-00155,793,0,0
BUR-00156,RET-00156,547,1,2
BUR-00157,RET-00157,849,2,1
BUR-00158,RET-00158,675,1,0
BUR-00159,RET-00159,757,1,1
BUR-00160,RET-00160,756,1,1
BUR-00161,RET-00161,831,1,1
BUR-00162,RET-00162,629,3,0
BUR-00163,RET-00163,815,0,0
BUR-00164,RET-00164,555,3,0
BUR-00165,RET-00165,821,3,1
BUR-00166,RET-00166,673,4,0
BUR-00167,RET-00167,578,4,0
BUR-00168,RET-00168,840,1,0
BUR-00169,RET-00169,629,1,0
BUR-00170,RET-00170,853,3,0
BUR-00171,RET-00171,863,0,0
BUR-00172,RET-00172,706,1,1
BUR-00173,RET-00173,730,1,0
BUR-00174,RET-00174,761,1,1
BUR-00175,RET-00175,725,5,0
BUR-00176,RET-00176,576,3,0
BUR-00177,RET-00177,723,4,1
BUR-00178,RET-00178,827,0,0
BUR-00179,RET-00179,595,2,1
BUR-00180,RET-00180,693,5,0
BUR-00181,RET-00181,657,2,0
BUR-00182,RET-00182,792,5,1
BUR-00183,RET-00183,649,0,0
BUR-00184,RET-00184,820,2,0
BUR-00185,RET-00185,740,0,0
BUR-00186,RET-00186,718,2,0
BUR-00187,RET-00187,649,0,1
BUR-00188,RET-00188,720,2,1
BUR-00189,RET-00189,820,1,1
BUR-00190,RET-00190,696,2,2
BUR-00191,RET-00191,814,4,0
BUR-00192,RET-00192,715,5,0
BUR-00193,RET-00193,719,1,2
BUR-00194,RET-00194,702,3,0
BUR-00195,RET-00195,702,6,1
BUR-00196,RET-00196,701,1,0
BUR-00197,RET-00197,799,2,2
BUR-00198,RET-00198,498,4,0
BUR-00199,RET-00199,770,6,0
BUR-00200,RET-00200,814,2,1
BUR-00201,RET-00201,775,0,1
BUR-00202,RET-00202,668,0,1
BUR-00203,RET-00203,521,3,0
BUR-00204,RET-00204,553,1,0
BUR-00205,RET-00205,776,2,0
BUR-00206,RET-00206,842,4,0
BUR-00207,RET-00207,783,4,1
BUR-00208,RET-00208,701,1,0
BUR-00209,RET-00209,860,2,1
BUR-00210,RET-00210,566,0,0
BUR-00211,RET-00211,725,3,1
BUR-00212,RET-00212,773,4,0
BUR-00213,RET-00213,768,1,0
BUR-00214,RET-00214,817,1,0
BUR-00215,RET-00215,688,0,1
BUR-00216,RET-00216,883,3,0
BUR-00217,RET-00217,619,2,1
BUR-00218,RET-00218,752,1,0
BUR-00219,RET-00219,749,2,2
BUR-00220,RET-00220,779,2,0
BUR-00221,RET-00221,749,3,0
BUR-00222,RET-00222,821,5,1
BUR-00223,RET-00223,636,0,0
BUR-00224,RET-00224,451,0,0
BUR-00225,RET-00225,603,1,2
BUR-00226,RET-00226,818,4,1
BUR-00227,RET-00227,680,1,2
BUR-00228,RET-00228,852,3,1
BUR-00229,RET-00229,766,3,0
BUR-00230,RET-00230,681,3,0
BUR-00231,RET-00231,859,4,0
BUR-00232,RET-00232,794,2,0
BUR-00233,RET-00233,731,1,0
BUR-00234,RET-00234,695,4,0
BUR-00235,RET-00235,754,0,3
BUR-00236,RET-00236,613,1,1
BUR-00237,RET-00237,590,3,1
BUR-00238,RET-00238,656,3,0
BUR-00239,RET-00239,522,1,0
BUR-00240,RET-00240,621,2,0
BUR-00241,RET-00241,726,0,0
BUR-00242,RET-00242,667,3,1
BUR-00243,RET-00243,837,1,2
BUR-00244,RET-00244,808,5,1
BUR-00245,RET-00245,860,2,2
BUR-00246,RET-00246,862,1,0
BUR-00247,RET-00247,570,4,0
BUR-00248,RET-00248,697,4,1
BUR-00249,RET-00249,769,2,1
BUR-00250,RET-00250,812,2,0
BUR-00251,RET-00251,769,1,0
BUR-00252,RET-00252,494,2,0
BUR-00253,RET-00253,747,1,0
BUR-00254,RET-00254,807,0,0
BUR-00255,RET-00255,670,1,1
BUR-00256,RET-00256,757,2,1
BUR-00257,RET-00257,635,0,1
BUR-00258,RET-00258,794,1,0
BUR-00259,RET-00259,757,3,0
BUR-00260,RET-00260,609,7,1
BUR-00261,RET-00261,849,3,0
BUR-00262,RET-00262,704,3,0
BUR-00263,RET-00263,640,3,1
BUR-00264,RET-00264,755,2,1
BUR-00265,RET-00265,510,4,0
BUR-00266,RET-00266,530,3,2
BUR-00267,RET-00267,681,3,0
BUR-00268,RET-00268,525,1,2
BUR-00269,RET-00269,621,3,1
BUR-00270,RET-00270,759,0,0
BUR-00271,RET-00271,576,3,2
BUR-00272,RET-00272,670,5,1
BUR-00273,RET-00273,722,4,1
BUR-00274,RET-00274,590,1,0
BUR-00275,RET-00275,825,3,0
BUR-00276,RET-00276,621,5,1
BUR-00277,RET-00277,813,3,0
BUR-00278,RET-00278,729,2,0
BUR-00279,RET-00279,694,4,0
BUR-00280,RET-00280,759,1,0
BUR-00281,RET-00281,720,2,0
BUR-00282,RET-00282,593,1,2
BUR-00283,RET-00283,722,7,0
BUR-00284,RET-00284,759,2,0
BUR-00285,RET-00285,735,1,1
BUR-00286,RET-00286,777,1,0
BUR-00287,RET-00287,826,1,0
BUR-00288,RET-00288,688,1,1
BUR-00289,RET-00289,726,3,0
BUR-00290,RET-00290,639,3,0
BUR-00291,RET-00291,873,3,0
BUR-00292,RET-00292,771,3,0
BUR-00293,RET-00293,736,0,0
BUR-00294,RET-00294,828,1,0
BUR-00295,RET-00295,774,3,1
BUR-00296,RET-00296,761,3,1
BUR-00297,RET-00297,729,1,0
BUR-00298,RET-00298,742,0,0
BUR-00299,RET-00299,782,1,2
BUR-00300,RET-00300,875,1,0
BUR-00301,RET-00301,720,5,1
BUR-00302,RET-00302,759,2,1
BUR-00303,RET-00303,676,1,0
BUR-00304,RET-00304,837,1,2
BUR-00305,RET-00305,773,3,0
BUR-00306,RET-00306,676,1,0
BUR-00307,RET-00307,604,1,0
BUR-00308,RET-00308,794,2,1
BUR-00309,RET-00309,726,0,0
BUR-00310,RET-00310,689,2,1
BUR-00311,RET-00311,722,3,0
BUR-00312,RET-00312,649,1,0
BUR-00313,RET-00313,763,2,1
BUR-00314,RET-00314,780,3,1
BUR-00315,RET-00315,791,3,0
BUR-00316,RET-00316,789,0,0
BUR-00317,RET-00317,774,1,1
BUR-00318,RET-00318,718,2,0
BUR-00319,RET-00319,760,1,0
BUR-00320,RET-00320,725,0,0
BUR-00321,RET-00321,695,1,2
BUR-00322,RET-00322,891,3,1
BUR-00323,RET-00323,754,1,0
BUR-00324,RET-00324,682,1,2
BUR-00325,RET-00325,804,0,0
BUR-00326,RET-00326,745,2,0
BUR-00327,RET-00327,826,5,1
BUR-00328,RET-00328,829,0,0
BUR-00329,RET-00329,754,2,1
BUR-00330,RET-00330,461,2,0
BUR-00331,RET-00331,749,2,1
BUR-00332,RET-00332,683,2,1
BUR-00333,RET-00333,801,5,1
BUR-00334,RET-00334,864,3,0
BUR-00335,RET-00335,577,2,0
BUR-00336,RET-00336,744,2,0
BUR-00337,RET-00337,797,2,0
BUR-00338,RET-00338,784,4,0
BUR-00339,RET-00339,653,1,0
BUR-00340,RET-00340,473,4,1
BUR-00341,RET-00341,774,2,2
BUR-00342,RET-00342,705,1,0
BUR-00343,RET-00343,691,1,0
BUR-00344,RET-00344,740,1,0
BUR-00345,RET-00345,785,3,0
BUR-00346,RET-00346,448,5,0
BUR-00347,RET-00347,695,1,0
BUR-00348,RET-00348,628,1,2
BUR-00349,RET-00349,778,2,0
BUR-00350,RET-00350,616,2,0
BUR-00351,RET-00351,720,0,0
BUR-00352,RET-00352,716,2,0
BUR-00353,RET-00353,848,2,0
BUR-00354,RET-00354,859,0,1
BUR-00355,RET-00355,593,3,0
BUR-00356,RET-00356,769,1,0
BUR-00357,RET-00357,663,5,1
BUR-00358,RET-00358,734,1,0
BUR-00359,RET-00359,736,1,1
BUR-00360,RET-00360,771,3,2
BUR-00361,RET-00361,866,2,1
BUR-00362,RET-00362,574,0,0
BUR-00363,RET-00363,456,4,0
BUR-00364,RET-00364,608,0,2
BUR-00365,RET-00365,709,4,0
BUR-00366,RET-00366,833,0,0
BUR-00367,RET-00367,774,2,0
BUR-00368,RET-00368,768,1,1
BUR-00369,RET-00369,700,3,0
BUR-00370,RET-00370,670,3,0
BUR-00371,RET-00371,785,1,1
BUR-00372,RET-00372,823,1,3
BUR-00373,RET-00373,767,1,0
BUR-00374,RET-00374,676,2,1
BUR-00375,RET-00375,689,5,0
BUR-00376,RET-00376,798,2,0
BUR-00377,RET-00377,638,2,0
BUR-00378,RET-00378,826,2,2
BUR-00379,RET-00379,814,1,0
BUR-00380,RET-00380,783,0,0
BUR-00381,RET-00381,666,3,0
BUR-00382,RET-00382,851,5,0
BUR-00383,RET-00383,841,1,1
BUR-00384,RET-00384,785,0,2
BUR-00385,RET-00385,643,1,2
BUR-00386,RET-00386,777,3,0
BUR-00387,RET-00387,841,1,0
BUR-00388,RET-00388,538,3,0
BUR-00389,RET-00389,807,1,1
BUR-00390,RET-00390,853,2,0
BUR-00391,RET-00391,607,5,0
BUR-00392,RET-00392,825,4,1
BUR-00393,RET-00393,708,4,0
BUR-00394,RET-00394,679,2,1
BUR-00395,RET-00395,804,2,1
BUR-00396,RET-00396,712,1,1
BUR-00397,RET-00397,766,0,1
BUR-00398,RET-00398,693,6,0
BUR-00399,RET-00399,871,2,0
BUR-00400,RET-00400,691,1,2
BUR-00401,RET-00401,881,0,1
BUR-00402,RET-00402,653,1,1
BUR-00403,RET-00403,827,3,0
BUR-00404,RET-00404,703,0,0
BUR-00405,RET-00405,830,4,0
BUR-00406,RET-00406,634,2,0
BUR-00407,RET-00407,772,3,0
BUR-00408,RET-00408,679,5,0
BUR-00409,RET-00409,788,2,0
BUR-00410,RET-00410,630,1,0
BUR-00411,RET-00411,787,3,1
BUR-00412,RET-00412,749,1,2
BUR-00413,RET-00413,816,2,1
BUR-00414,RET-00414,570,4,0
BUR-00415,RET-00415,773,1,0
BUR-00416,RET-00416,773,2,2
BUR-00417,RET-00417,669,0,1
BUR-00418,RET-00418,644,1,0
BUR-00419,RET-00419,663,3,0
BUR-00420,RET-00420,805,0,1
BUR-00421,RET-00421,674,3,0
BUR-00422,RET-00422,740,2,0
BUR-00423,RET-00423,723,1,0
BUR-00424,RET-00424,643,4,0
BUR-00425,RET-00425,621,0,1
BUR-00426,RET-00426,812,0,1
BUR-00427,RET-00427,804,1,0
BUR-00428,RET-00428,554,1,1
BUR-00429,RET-00429,656,3,2
BUR-00430,RET-00430,693,3,1
BUR-00431,RET-00431,781,2,0
BUR-00432,RET-00432,824,4,3
BUR-00433,RET-00433,647,0,1
BUR-00434,RET-00434,766,2,1
BUR-00435,RET-00435,613,2,1
BUR-00436,RET-00436,721,1,0
BUR-00437,RET-00437,804,2,0
BUR-00438,RET-00438,814,1,0
BUR-00439,RET-00439,660,1,1
BUR-00440,RET-00440,792,3,0
BUR-00441,RET-00441,717,0,0
BUR-00442,RET-00442,769,3,0
BUR-00443,RET-00443,804,3,0
BUR-00444,RET-00444,613,2,0
BUR-00445,RET-00445,823,2,0
BUR-00446,RET-00446,550,5,1
BUR-00447,RET-00447,568,2,0
BUR-00448,RET-00448,737,3,0
BUR-00449,RET-00449,689,3,2
BUR-00450,RET-00450,805,4,0
BUR-00451,RET-00451,482,2,1
BUR-00452,RET-00452,795,4,1
BUR-00453,RET-00453,733,3,1
BUR-00454,RET-00454,589,2,1
BUR-00455,RET-00455,816,2,0
BUR-00456,RET-00456,771,2,0
BUR-00457,RET-00457,669,0,0
BUR-00458,RET-00458,669,0,0
BUR-00459,RET-00459,748,0,1
BUR-00460,RET-00460,758,2,1
BUR-00461,RET-00461,867,3,0
BUR-00462,RET-00462,679,1,0
BUR-00463,RET-00463,580,0,1
BUR-00464,RET-00464,842,1,0
BUR-00465,RET-00465,745,0,0
BUR-00466,RET-00466,454,2,0
BUR-00467,RET-00467,803,3,0
BUR-00468,RET-00468,686,0,0
BUR-00469,RET-00469,586,2,2
BUR-00470,RET-00470,892,4,0
BUR-00471,RET-00471,599,2,0
BUR-00472,RET-00472,475,2,1
BUR-00473,RET-00473,680,3,1
BUR-00474,RET-00474,859,3,0
BUR-00475,RET-00475,589,1,0
BUR-00476,RET-00476,833,2,0
BUR-00477,RET-00477,644,3,0
BUR-00478,RET-00478,729,2,1
BUR-00479,RET-00479,518,0,1
BUR-00480,RET-00480,618,1,1
BUR-00481,RET-00481,759,3,0
BUR-00482,RET-00482,753,2,0
BUR-00483,RET-00483,727,4,0
BUR-00484,RET-00484,672,2,1
BUR-00485,RET-00485,772,2,0
BUR-00486,RET-00486,821,2,1
BUR-00487,RET-00487,631,1,0
BUR-00488,RET-00488,688,3,1
BUR-00489,RET-00489,679,2,0
BUR-00490,RET-00490,665,1,0
BUR-00491,RET-00491,854,0,0
BUR-00492,RET-00492,798,6,1
BUR-00493,RET-00493,762,0,0
BUR-00494,RET-00494,663,5,1
BUR-00495,RET-00495,722,4,0
BUR-00496,RET-00496,748,2,0
BUR-00497,RET-00497,666,1,0
BUR-00498,RET-00498,720,6,0
BUR-00499,RET-00499,808,3,0
BUR-00500,RET-00500,797,3,0
BUR-00501,RET-00501,782,2,0
BUR-00502,RET-00502,681,4,0
BUR-00503,RET-00503,727,3,0
BUR-00504,RET-00504,754,3,0
BUR-00505,RET-00505,785,1,0
BUR-00506,RET-00506,783,6,1
BUR-00507,RET-00507,819,3,0
BUR-00508,RET-00508,508,3,1
BUR-00509,RET-00509,710,1,0
BUR-00510,RET-00510,842,3,1
BUR-00511,RET-00511,423,0,1
BUR-00512,RET-00512,727,0,0
BUR-00513,RET-00513,864,2,0
BUR-00514,RET-00514,843,2,1
BUR-00515,RET-00515,773,0,4
BUR-00516,RET-00516,789,1,1
BUR-00517,RET-00517,835,3,2
BUR-00518,RET-00518,686,1,1
BUR-00519,RET-00519,869,4,1
BUR-00520,RET-00520,814,4,0
BUR-00521,RET-00521,781,2,0
BUR-00522,RET-00522,532,3,1
BUR-00523,RET-00523,833,2,0
BUR-00524,RET-00524,791,1,0
BUR-00525,RET-00525,640,3,0
BUR-00526,RET-00526,840,2,0
BUR-00527,RET-00527,730,4,1
BUR-00528,RET-00528,773,2,0
BUR-00529,RET-00529,640,1,0
BUR-00530,RET-00530,866,4,0
BUR-00531,RET-00531,869,0,0
BUR-00532,RET-00532,757,2,0
BUR-00533,RET-00533,817,0,0
BUR-00534,RET-00534,854,0,0
BUR-00535,RET-00535,855,3,0
BUR-00536,RET-00536,487,4,0
BUR-00537,RET-00537,864,1,2
BUR-00538,RET-00538,658,1,0
BUR-00539,RET-00539,841,2,0
BUR-00540,RET-00540,840,3,0
BUR-00541,RET-00541,634,3,0
BUR-00542,RET-00542,849,2,1
BUR-00543,RET-00543,589,2,1
BUR-00544,RET-00544,811,3,0
BUR-00545,RET-00545,887,0,0
BUR-00546,RET-00546,519,4,1
BUR-00547,RET-00547,812,4,1
BUR-00548,RET-00548,869,1,1
BUR-00549,RET-00549,598,5,1
BUR-00550,RET-00550,782,2,0
BUR-00551,RET-00551,749,1,0
BUR-00552,RET-00552,835,3,1
BUR-00553,RET-00553,522,2,3
BUR-00554,RET-00554,645,4,0
BUR-00555,RET-00555,664,3,1
BUR-00556,RET-00556,831,0,1
BUR-00557,RET-00557,654,1,0
BUR-00558,RET-00558,814,1,0
BUR-00559,RET-00559,591,3,0
BUR-00560,RET-00560,684,2,0
BUR-00561,RET-00561,706,1,1
BUR-00562,RET-00562,782,4,0
BUR-00563,RET-00563,891,1,0
BUR-00564,RET-00564,784,3,1
BUR-00565,RET-00565,815,3,1
BUR-00566,RET-00566,891,2,0
BUR-00567,RET-00567,693,3,1
BUR-00568,RET-00568,717,1,0
BUR-00569,RET-00569,835,3,0
BUR-00570,RET-00570,833,1,0
BUR-00571,RET-00571,551,2,1
BUR-00572,RET-00572,769,1,0
BUR-00573,RET-00573,617,4,0
BUR-00574,RET-00574,523,2,1
BUR-00575,RET-00575,670,1,1
BUR-00576,RET-00576,598,2,0
BUR-00577,RET-00577,825,1,0
BUR-00578,RET-00578,758,1,1
BUR-00579,RET-00579,731,2,0
BUR-00580,RET-00580,839,2,1
BUR-00581,RET-00581,718,1,0
BUR-00582,RET-00582,742,1,0
BUR-00583,RET-00583,605,2,1
BUR-00584,RET-00584,541,4,1
BUR-00585,RET-00585,587,4,0
BUR-00586,RET-00586,815,2,1
BUR-00587,RET-00587,419,4,2
BUR-00588,RET-00588,867,1,0
BUR-00589,RET-00589,756,3,0
BUR-00590,RET-00590,787,1,0
BUR-00591,RET-00591,614,1,0
BUR-00592,RET-00592,778,0,1
BUR-00593,RET-00593,666,2,2
BUR-00594,RET-00594,746,1,0
BUR-00595,RET-00595,634,3,0
BUR-00596,RET-00596,767,3,1
BUR-00597,RET-00597,613,2,0
BUR-00598,RET-00598,715,2,0
BUR-00599,RET-00599,713,4,0
BUR-00600,RET-00600,710,1,0
BUR-00601,RET-00601,480,2,0
BUR-00602,RET-00602,675,4,1
BUR-00603,RET-00603,602,0,0
BUR-00604,RET-00604,650,2,0
BUR-00605,RET-00605,728,1,0
BUR-00606,RET-00606,527,3,2
BUR-00607,RET-00607,712,7,0
BUR-00608,RET-00608,723,2,0
BUR-00609,RET-00609,749,0,1
BUR-00610,RET-00610,715,1,0
BUR-00611,RET-00611,681,2,1
BUR-00612,RET-00612,754,2,0
BUR-00613,RET-00613,863,1,0
BUR-00614,RET-00614,707,0,0
BUR-00615,RET-00615,566,1,0
BUR-00616,RET-00616,679,1,0
BUR-00617,RET-00617,517,3,0
BUR-00618,RET-00618,793,4,0
BUR-00619,RET-00619,797,1,0
BUR-00620,RET-00620,748,5,0
BUR-00621,RET-00621,755,0,1
BUR-00622,RET-00622,702,1,0
BUR-00623,RET-00623,731,1,0
BUR-00624,RET-00624,583,0,1
BUR-00625,RET-00625,759,1,0
BUR-00626,RET-00626,874,2,0
BUR-00627,RET-00627,788,4,1
BUR-00628,RET-00628,861,4,0
BUR-00629,RET-00629,831,2,0
BUR-00630,RET-00630,823,2,1
BUR-00631,RET-00631,684,0,2
BUR-00632,RET-00632,721,2,0
BUR-00633,RET-00633,707,1,1
BUR-00634,RET-00634,634,3,1
BUR-00635,RET-00635,855,9,1
BUR-00636,RET-00636,584,2,0
BUR-00637,RET-00637,859,1,1
BUR-00638,RET-00638,599,3,0
BUR-00639,RET-00639,678,1,0
BUR-00640,RET-00640,840,0,0
BUR-00641,RET-00641,851,2,0
BUR-00642,RET-00642,801,2,0
BUR-00643,RET-00643,783,1,0
BUR-00644,RET-00644,600,2,0
BUR-00645,RET-00645,825,2,1
BUR-00646,RET-00646,798,1,0
BUR-00647,RET-00647,839,0,0
BUR-00648,RET-00648,799,4,0
BUR-00649,RET-00649,840,3,0
BUR-00650,RET-00650,615,2,1
BUR-00651,RET-00651,683,3,1
BUR-00652,RET-00652,683,1,0
BUR-00653,RET-00653,872,3,0
BUR-00654,RET-00654,774,0,0
BUR-00655,RET-00655,459,4,0
BUR-00656,RET-00656,826,0,1
BUR-00657,RET-00657,842,1,1
BUR-00658,RET-00658,676,4,0
BUR-00659,RET-00659,800,0,1
BUR-00660,RET-00660,575,3,2
BUR-00661,RET-00661,700,3,1
BUR-00662,RET-00662,657,0,0
BUR-00663,RET-00663,570,2,1
BUR-00664,RET-00664,634,3,3
BUR-00665,RET-00665,512,4,0
BUR-00666,RET-00666,700,1,0
BUR-00667,RET-00667,878,2,1
BUR-00668,RET-00668,694,1,0
BUR-00669,RET-00669,702,0,0
BUR-00670,RET-00670,809,4,1
BUR-00671,RET-00671,755,1,0
BUR-00672,RET-00672,831,0,0
BUR-00673,RET-00673,757,2,1
BUR-00674,RET-00674,821,0,2
BUR-00675,RET-00675,582,1,0
BUR-00676,RET-00676,819,0,0
BUR-00677,RET-00677,737,3,0
BUR-00678,RET-00678,860,2,0
BUR-00679,RET-00679,807,2,0
BUR-00680,RET-00680,827,3,1
BUR-00681,RET-00681,747,3,0
BUR-00682,RET-00682,824,0,2
BUR-00683,RET-00683,749,2,1
BUR-00684,RET-00684,501,3,0
BUR-00685,RET-00685,758,1,0
BUR-00686,RET-00686,739,2,0
BUR-00687,RET-00687,689,4,1
BUR-00688,RET-00688,523,0,2
BUR-00689,RET-00689,837,5,0
BUR-00690,RET-00690,603,2,0
BUR-00691,RET-00691,638,4,0
BUR-00692,RET-00692,585,4,1
BUR-00693,RET-00693,575,0,0
BUR-00694,RET-00694,684,2,1
BUR-00695,RET-00695,642,2,0
BUR-00696,RET-00696,677,1,1
BUR-00697,RET-00697,602,2,0
BUR-00698,RET-00698,834,2,0
BUR-00699,RET-00699,772,8,1
BUR-00700,RET-00700,857,4,0
BUR-00701,RET-00701,866,0,0
BUR-00702,RET-00702,750,1,0
BUR-00703,RET-00703,747,5,0
BUR-00704,RET-00704,496,4,1
BUR-00705,RET-00705,694,2,0
BUR-00706,RET-00706,798,3,2
BUR-00707,RET-00707,789,4,0
BUR-00708,RET-00708,816,5,1
BUR-00709,RET-00709,676,2,0
BUR-00710,RET-00710,643,1,0
BUR-00711,RET-00711,811,1,0
BUR-00712,RET-00712,508,1,0
BUR-00713,RET-00713,430,1,0
BUR-00714,RET-00714,768,2,0
BUR-00715,RET-00715,701,3,1
BUR-00716,RET-00716,706,1,1
BUR-00717,RET-00717,861,0,0
BUR-00718,RET-00718,830,0,0
BUR-00719,RET-00719,765,0,1
BUR-00720,RET-00720,781,2,0
BUR-00721,RET-00721,799,1,1
BUR-00722,RET-00722,831,2,0
BUR-00723,RET-00723,773,1,0
BUR-00724,RET-00724,845,1,1
BUR-00725,RET-00725,664,1,1
BUR-00726,RET-00726,834,4,1
BUR-00727,RET-00727,569,5,0
BUR-00728,RET-00728,787,0,1
BUR-00729,RET-00729,734,0,0
BUR-00730,RET-00730,729,3,0
BUR-00731,RET-00731,552,2,0
