LOAN_ID,SIMULATED_PD,OFFICER_DECISION,DEFAULT_STATUS,CALCULATED_FOIR,CALCULATED_LTV
LN-HM-00127,0.5105,Reject,1,0.677,0.0
LN-HM-00128,0.42,Reject,0,0.7399,0.7487
LN-HM-00129,0.0,Approve,0,0.4479,0.8925
LN-HM-00130,0.7179,Reject,1,0.5839,0.9452
LN-HM-00131,0.4749,Reject,0,0.6031,0.8986
LN-HM-00132,0.3053,Reject,0,0.6325,0.7268
LN-HM-00133,0.5747,Reject,0,0.7308,0.9465
LN-HM-00134,0.3632,Reject,0,0.9592,0.7865
LN-HM-00135,0.2316,Reject,1,0.5977,0.7111
LN-HM-00136,0.0833,Approve,0,0.4709,0.7868
LN-HM-00137,0.5885,Reject,1,0.7039,0.0
LN-HM-00138,0.5953,Reject,1,1.5083,0.0
LN-HM-00139,0.232,Reject,0,0.5982,0.7585
LN-HM-00140,0.294,Review,1,0.5389,0.67
LN-HM-00141,0.0,Approve,0,0.424,0.726
LN-HM-00142,0.0,Approve,0,0.2991,0.875
LN-HM-00143,0.544,Reject,0,0.6014,0.9343
LN-HM-00144,0.4462,Reject,1,0.5188,0.7995
LN-HM-00145,0.2069,Review,1,0.2911,0.8868
LN-HM-00146,0.4049,Reject,0,0.7988,0.6585
LN-HM-00147,0.3907,Reject,0,0.8956,0.7447
LN-HM-00148,0.4284,Reject,0,0.8413,0.6549
LN-HM-00149,0.2974,Reject,0,0.6007,0.7645
LN-HM-00150,0.0,Approve,0,0.4727,0.0
LN-HM-00151,0.1857,Approve,0,0.2408,0.0
LN-HM-00152,0.4305,Reject,1,0.7419,0.747
LN-HM-00153,0.2707,Reject,0,0.624,0.0
LN-HM-00154,0.9619,Reject,1,0.6699,0.7851
LN-HM-00155,0.1765,Review,0,0.541,0.839
LN-HM-00156,1.0,Reject,1,0.7954,0.0
LN-HM-00157,0.0674,Approve,0,0.4881,0.8627
LN-HM-00158,0.5407,Reject,0,0.5089,0.0
LN-HM-00159,0.4563,Reject,0,0.6741,0.6623
LN-HM-00160,0.268,Review,0,0.363,0.8938
LN-HM-00161,0.0,Approve,0,0.4088,0.8359
LN-HM-00162,0.6991,Reject,0,1.0293,0.0
LN-HM-00163,0.5084,Reject,0,0.7132,0.0
LN-HM-00164,1.0,Reject,1,0.9603,0.8646
LN-HM-00165,0.5016,Reject,1,0.6236,0.9259
LN-HM-00166,0.1465,Approve,0,0.4968,0.6827
LN-HM-00167,0.4901,Reject,1,0.2912,0.0
LN-HM-00168,0.0,Approve,0,0.4267,0.0
LN-HM-00169,0.5334,Reject,0,0.6255,0.9381
LN-HM-00170,0.3405,Reject,0,0.6074,0.6964
LN-HM-00171,0.5189,Reject,1,0.6505,0.7026
LN-HM-00172,0.5692,Reject,1,0.6804,0.7518
LN-HM-00173,0.0525,Approve,0,0.3305,0.0
LN-HM-00174,0.4364,Reject,1,0.7839,0.9535
LN-HM-00175,0.5244,Reject,1,0.6877,0.7412
LN-HM-00176,0.8986,Reject,1,1.1975,0.0
LN-HM-00177,0.3602,Reject,0,0.597,0.7313
LN-HM-00178,0.6375,Reject,1,0.7468,0.8877
LN-HM-00179,0.6881,Reject,1,0.6053,0.8438
LN-HM-00180,0.282,Review,0,0.445,0.0
LN-HM-00181,0.5662,Reject,1,0.5288,0.0
LN-HM-00182,0.0,Approve,0,0.4677,0.0
LN-HM-00183,0.7037,Reject,1,1.642,0.0
LN-HM-00184,0.6574,Reject,1,0.8379,0.8706
LN-HM-00185,0.4968,Reject,0,0.8848,0.7164
LN-HM-00186,0.3103,Reject,1,0.6398,0.6553
LN-HM-00187,0.6462,Reject,1,1.5018,0.0
LN-HM-00188,0.0443,Approve,0,0.4622,0.0
LN-HM-00189,0.4477,Reject,0,0.7567,0.7596
LN-HM-00190,0.4806,Reject,1,0.5219,0.7252
LN-HM-00191,0.1696,Review,0,0.5355,0.7154
LN-HM-00192,0.8077,Reject,0,1.1002,0.9308
LN-HM-00193,0.3334,Review,1,0.5077,0.7747
LN-HM-00194,0.5441,Reject,1,0.6996,0.8098
LN-HM-00195,0.0434,Approve,0,0.3285,0.7928
LN-HM-00196,0.0,Approve,0,0.4767,0.9375
LN-HM-00197,0.0,Approve,0,0.3331,0.86
LN-HM-00198,0.9293,Reject,1,0.7192,0.739
LN-HM-00199,0.2094,Review,0,0.3688,0.9366
LN-HM-00200,0.5732,Reject,1,1.0271,0.9231
LN-HM-00201,0.7184,Reject,1,0.6579,0.8128
LN-HM-00202,0.1679,Approve,0,0.3115,0.0
LN-HM-00203,0.9877,Reject,1,1.0728,0.7355
LN-HM-00204,0.4211,Reject,1,0.3851,0.8537
LN-HM-00205,0.2682,Review,0,0.5256,0.0
LN-HM-00206,0.1646,Reject,0,0.5609,0.0
LN-HM-00207,0.0,Approve,0,0.4371,0.7275
LN-HM-00208,0.0522,Approve,0,0.263,0.0
LN-HM-00209,0.0,Approve,0,0.4296,0.0
LN-HM-00210,1.0,Reject,1,0.9235,0.9369
LN-HM-00211,0.8111,Reject,0,0.9152,0.8666
LN-HM-00212,0.4758,Reject,1,0.6962,0.0
LN-HM-00213,0.5759,Reject,1,0.7014,0.8517
LN-HM-00214,0.1045,Approve,0,0.4626,0.8924
LN-HM-00215,0.7227,Reject,1,0.5918,0.8551
LN-HM-00216,0.4267,Reject,1,0.5442,0.8575
LN-HM-00217,0.7099,Reject,1,0.697,0.0
LN-HM-00218,0.6673,Reject,1,0.7398,0.8127
LN-HM-00219,0.2946,Review,0,0.5107,0.9487
LN-HM-00220,0.5066,Reject,1,0.5125,0.9044
LN-HM-00221,0.6168,Reject,0,0.533,0.8519
LN-HM-00222,0.4173,Reject,0,0.6127,0.8603
LN-HM-00223,0.6879,Reject,1,0.7499,0.7437
LN-HM-00224,0.8308,Reject,0,0.5222,0.0
LN-HM-00225,0.4084,Reject,0,0.5913,0.6681
LN-HM-00226,0.3319,Reject,0,0.638,0.8556
LN-HM-00227,0.1974,Approve,0,0.4375,0.0
LN-HM-00228,0.4528,Reject,0,0.7903,0.7802
LN-HM-00229,0.4848,Reject,0,1.6604,0.0
LN-HM-00230,0.735,Reject,1,0.7227,0.7047
LN-HM-00231,0.3872,Reject,1,0.5875,0.8584
LN-HM-00232,0.0218,Approve,0,0.484,0.7917
LN-HM-00233,0.6415,Reject,0,0.8657,0.8843
LN-HM-00234,0.6113,Reject,1,0.5199,0.9476
LN-HM-00235,0.0,Approve,0,0.4092,0.0
LN-HM-00236,0.6417,Reject,1,0.6216,0.8504
LN-HM-00237,0.5166,Reject,1,0.3744,0.0
LN-HM-00238,0.9059,Reject,1,0.6828,0.8881
LN-HM-00239,1.0,Reject,1,0.7494,0.8723
LN-HM-00240,0.1889,Approve,0,0.4084,0.0
LN-HM-00241,0.5565,Reject,0,0.8045,0.7539
LN-HM-00242,0.9975,Reject,1,0.8611,0.9016
LN-HM-00243,0.6419,Reject,1,0.8947,0.8678
LN-HM-00244,0.4421,Reject,1,0.6866,0.6686
LN-HM-00245,0.3015,Reject,0,0.5551,0.7018
LN-HM-00246,0.4749,Reject,0,0.7447,0.0
LN-HM-00247,0.9338,Reject,1,0.652,0.7552
LN-HM-00248,0.4876,Reject,1,0.6148,0.0
LN-HM-00249,0.4329,Reject,0,0.679,0.9031
LN-HM-00250,0.3804,Reject,0,0.9279,0.7888
LN-HM-00251,0.253,Reject,0,0.6369,0.6545
LN-HM-00252,0.3297,Reject,0,0.4603,0.6912
LN-HM-00253,0.3991,Review,0,0.529,0.7624
LN-HM-00254,0.4687,Reject,1,0.9332,0.6655
LN-HM-00255,0.4733,Reject,0,0.585,0.0
LN-HM-00256,0.0,Approve,0,0.1672,0.0
LN-HM-00257,0.4874,Reject,0,0.5923,0.7743
LN-HM-00258,0.2905,Reject,0,0.5574,0.7384
LN-HM-00259,0.5308,Reject,1,0.5201,0.8298
LN-HM-00260,0.577,Reject,1,0.5548,0.6802
LN-HM-00261,0.1846,Reject,0,0.5947,0.6849
LN-HM-00262,0.4464,Reject,0,0.6763,0.6851
LN-HM-00263,0.109,Approve,0,0.2585,0.9024
LN-HM-00264,0.4137,Reject,0,0.8594,0.6817
LN-HM-00265,0.9445,Reject,1,0.6786,0.7982
LN-HM-00266,0.9821,Reject,1,0.6911,0.7347
LN-HM-00267,0.4201,Reject,0,0.5811,0.0
LN-HM-00268,0.3935,Reject,0,0.4909,0.0
LN-HM-00269,0.1902,Approve,0,0.3987,0.7365
LN-HM-00270,0.0312,Approve,0,0.3537,0.9115
LN-HM-00271,0.7537,Reject,1,0.5487,0.939
LN-HM-00272,0.6889,Reject,1,0.6746,0.9316
LN-HM-00273,0.314,Reject,0,0.6186,0.7725
LN-HM-00274,1.0,Reject,1,0.7201,0.8283
LN-HM-00275,0.4729,Reject,0,0.6127,0.8874
LN-HM-00276,0.8988,Reject,1,1.0404,0.9404
LN-HM-00277,0.2155,Reject,0,0.5566,0.7404
LN-HM-00278,0.3175,Reject,0,0.6483,0.9038
LN-HM-00279,0.56,Reject,0,0.589,0.7209
LN-HM-00280,0.6575,Reject,0,0.7948,0.8543
LN-HM-00281,0.3196,Reject,1,0.6229,0.9179
LN-HM-00282,0.4479,Reject,0,0.2806,0.0
LN-HM-00283,0.2948,Reject,0,0.5974,0.0
LN-HM-00284,0.2686,Review,0,0.5211,0.9085
LN-HM-00285,0.288,Reject,1,0.6335,0.7419
LN-HM-00286,0.3025,Review,0,0.5371,0.7551
LN-HM-00287,0.2341,Reject,0,0.6213,0.9375
LN-HM-00288,0.7322,Reject,1,0.9915,0.7524
LN-HM-00289,0.5888,Reject,0,1.6251,0.0
LN-HM-00290,0.5248,Reject,1,0.5617,0.6977
LN-HM-00291,0.4751,Reject,1,0.8894,0.0
LN-HM-00292,0.405,Reject,1,0.7133,0.7935
LN-HM-00293,0.7678,Reject,0,0.8844,0.9035
LN-HM-00294,0.6337,Reject,1,0.7147,0.8948
LN-HM-00295,0.4483,Reject,0,0.7585,0.9402
LN-HM-00296,0.4896,Reject,0,1.4096,0.0
LN-HM-00297,0.5332,Reject,1,0.861,0.0
LN-HM-00298,0.0,Approve,0,0.3273,0.0
LN-HM-00299,0.2129,Review,1,0.5308,0.7343
LN-HM-00300,0.0,Approve,0,0.2916,0.0
LN-HM-00301,0.3955,Reject,1,0.6093,0.0
LN-HM-00302,0.3744,Reject,0,0.7877,0.875
LN-HM-00303,0.6891,Reject,1,0.6584,0.0
LN-HM-00304,0.4053,Reject,0,0.7322,0.0
LN-HM-00305,0.1702,Approve,0,0.4314,0.9077
LN-HM-00306,0.2089,Review,0,0.4301,0.7513
LN-HM-00307,0.4782,Reject,1,0.5345,0.0
LN-HM-00308,0.615,Reject,0,0.869,0.9219
LN-HM-00309,0.6143,Reject,1,0.8923,0.0
LN-HM-00310,0.6674,Reject,1,0.6974,0.6904
LN-HM-00311,0.6563,Reject,0,0.652,0.758
LN-HM-00312,0.3246,Reject,0,0.6343,0.7664
LN-HM-00313,0.3433,Reject,0,0.5839,0.9197
LN-HM-00314,0.2777,Reject,1,0.5838,0.0
LN-HM-00315,0.418,Reject,1,0.6531,0.7174
LN-HM-00316,0.3366,Reject,1,0.7724,0.9362
LN-HM-00317,0.261,Reject,0,0.6216,0.9391
LN-HM-00318,0.0216,Approve,0,0.4816,0.7061
LN-HM-00319,0.2757,Reject,1,0.5689,0.0
LN-HM-00320,0.585,Reject,1,0.7693,0.6932
LN-HM-00321,0.272,Review,0,0.3851,0.7812
LN-HM-00322,0.4158,Reject,0,1.4121,0.0
LN-HM-00323,0.173,Approve,0,0.4485,0.9209
LN-HM-00324,0.5306,Reject,0,0.6061,0.7237
LN-HM-00325,0.4786,Reject,1,0.5608,0.8095
LN-HM-00326,0.5732,Reject,0,0.7873,0.6958
LN-HM-00327,0.4787,Reject,0,0.7243,0.8654
LN-HM-00328,0.0,Approve,0,0.4194,0.0
LN-HM-00329,0.2804,Review,0,0.5433,0.0
LN-HM-00330,1.0,Reject,1,0.5673,0.8418
LN-HM-00331,0.4541,Reject,1,0.7279,0.6476
LN-HM-00332,0.579,Reject,0,0.5899,0.9143
LN-HM-00333,0.5147,Reject,1,0.725,0.8125
LN-HM-00334,0.3228,Review,0,0.5297,0.8204
LN-HM-00335,0.9406,Reject,1,0.5493,0.8393
LN-HM-00336,0.3057,Reject,0,0.5626,0.8578
LN-HM-00337,0.5211,Reject,0,0.8217,0.0
LN-HM-00338,0.621,Reject,1,0.8287,0.8598
LN-HM-00339,0.6847,Reject,1,0.7924,0.726
LN-HM-00340,0.384,Reject,0,0.3995,0.6511
LN-HM-00341,0.4223,Reject,1,1.1383,0.7712
LN-HM-00342,0.5655,Reject,1,1.4238,0.0
LN-HM-00343,0.5659,Reject,0,0.6077,0.6622
LN-HM-00344,0.5358,Reject,0,0.9322,0.0
LN-HM-00345,0.0,Approve,0,0.4626,0.0
LN-HM-00346,0.9948,Reject,1,0.7539,0.7934
LN-HM-00347,0.749,Reject,1,0.753,0.6806
LN-HM-00348,0.5743,Reject,1,0.5182,0.0
LN-HM-00349,0.2301,Reject,0,0.5822,0.759
LN-HM-00350,0.6807,Reject,1,0.6722,0.8176
LN-HM-00351,0.7381,Reject,0,0.7354,0.8571
LN-HM-00352,0.3234,Reject,0,0.6117,0.7612
LN-HM-00353,0.6885,Reject,1,0.6611,0.8939
LN-HM-00354,0.4214,Reject,0,0.7212,0.7462
LN-HM-00355,0.8068,Reject,1,0.5559,0.0
LN-HM-00356,0.5182,Reject,1,0.9534,0.6864
LN-HM-00357,0.6757,Reject,0,0.5938,0.7645
LN-HM-00358,0.0933,Approve,0,0.41,0.0
LN-HM-00359,0.5649,Reject,0,0.631,0.8533
LN-HM-00360,0.0,Approve,0,0.45,0.9292
LN-HM-00361,0.2588,Review,0,0.5483,0.739
LN-HM-00362,0.883,Reject,1,0.9753,0.0
LN-HM-00363,1.0,Reject,1,0.7397,0.852
LN-HM-00364,0.6894,Reject,0,1.1579,0.0
LN-HM-00365,0.3913,Reject,0,0.6193,0.7668
LN-HM-00366,0.4187,Reject,0,0.5193,0.8632
LN-HM-00367,0.0,Approve,0,0.4494,0.0
LN-HM-00368,0.468,Reject,1,0.6729,0.6941
LN-HM-00369,0.3815,Review,1,0.5192,0.9159
LN-HM-00370,0.4723,Reject,1,0.34,0.8777
LN-HM-00371,0.2257,Review,0,0.5041,0.6584
LN-HM-00372,0.4207,Reject,1,0.699,0.7288
LN-HM-00373,0.2696,Reject,1,0.6313,0.9032
LN-HM-00374,0.1414,Approve,0,0.309,0.8496
LN-HM-00375,0.5855,Reject,0,0.5189,0.6551
LN-HM-00376,0.5458,Reject,1,0.974,0.784
LN-HM-00377,0.5979,Reject,1,0.5735,0.0
LN-HM-00378,0.727,Reject,1,0.9014,0.8497
LN-HM-00379,0.3929,Reject,1,1.0744,0.0
LN-HM-00380,0.0,Approve,0,0.3337,0.7201
LN-HM-00381,0.8637,Reject,1,0.7312,0.8468
LN-HM-00382,0.3789,Reject,1,1.2637,0.0
LN-HM-00383,0.4696,Reject,1,0.9498,0.9431
LN-HM-00384,0.3547,Reject,0,0.5656,0.8584
LN-HM-00385,0.2644,Review,0,0.3481,0.7602
LN-HM-00386,0.4603,Reject,0,1.3891,0.0
LN-HM-00387,0.0,Approve,0,0.4559,0.0
LN-HM-00388,0.4468,Reject,0,0.4254,0.8491
LN-HM-00389,0.2591,Reject,0,0.6034,0.0
LN-HM-00390,0.085,Approve,1,0.3201,0.8065
LN-HM-00391,0.6566,Reject,1,0.7747,0.77
LN-HM-00392,0.328,Review,0,0.5391,0.0
LN-HM-00393,0.4081,Reject,1,0.5527,0.6994
LN-HM-00394,0.1669,Approve,0,0.4872,0.8652
LN-HM-00395,0.0423,Approve,0,0.4618,0.0
LN-HM-00396,0.531,Reject,0,0.5213,0.9258
LN-HM-00397,0.0,Approve,0,0.3355,0.0
LN-HM-00398,0.6194,Reject,1,0.5207,0.808
LN-HM-00399,0.1114,Approve,0,0.4391,0.8454
LN-HM-00400,0.6851,Reject,1,0.6794,0.7343
LN-HM-00401,0.2805,Review,0,0.5494,0.0
LN-HM-00402,0.6384,Reject,1,0.6942,0.8976
LN-HM-00403,0.0,Approve,0,0.4188,0.7927
LN-HM-00404,0.5005,Reject,1,0.7552,0.0
LN-HM-00405,0.4544,Reject,0,1.2603,0.0
LN-HM-00406,0.231,Review,0,0.4701,0.0
LN-HM-00407,0.0,Approve,0,0.3823,0.7235
LN-HM-00408,0.1039,Approve,0,0.2126,0.0
LN-HM-00409,0.6957,Reject,0,0.6538,0.875
LN-HM-00410,0.7492,Reject,1,1.4035,0.0
LN-HM-00411,0.4235,Reject,0,0.6926,0.0
LN-HM-00412,0.6154,Reject,1,1.0489,0.0
LN-HM-00413,0.0,Approve,0,0.4384,0.9149
LN-HM-00414,0.3928,Reject,1,0.2786,0.726
LN-HM-00415,0.0,Approve,0,0.4632,0.6577
LN-HM-00416,0.0,Approve,0,0.3669,0.0
LN-HM-00417,0.9277,Reject,1,0.8173,0.8613
LN-HM-00418,0.1955,Approve,0,0.388,0.7627
LN-HM-00419,0.7127,Reject,1,1.0556,0.0
LN-HM-00420,0.339,Reject,0,0.5754,0.7646
LN-HM-00421,0.9009,Reject,1,0.8706,0.9227
LN-HM-00422,0.5661,Reject,0,0.7694,0.6716
LN-HM-00423,0.4352,Reject,1,0.7093,0.759
LN-HM-00424,0.7573,Reject,1,0.7503,0.696
LN-HM-00425,0.6989,Reject,1,0.6141,0.8952
LN-HM-00426,0.0116,Approve,0,0.4931,0.0
LN-HM-00427,0.4672,Reject,0,0.9877,0.7977
LN-HM-00428,0.4586,Reject,0,0.2969,0.0
LN-HM-00429,0.6448,Reject,1,0.67,0.6635
LN-HM-00430,0.9305,Reject,0,0.8697,0.9432
LN-HM-00431,0.4177,Reject,0,0.7263,0.0
LN-HM-00432,0.4365,Reject,0,0.7314,0.0
LN-HM-00433,0.1546,Approve,0,0.4735,0.0
LN-HM-00434,0.2519,Reject,1,0.6234,0.0
LN-HM-00435,0.7685,Reject,1,0.6727,0.672
LN-HM-00436,0.5581,Reject,0,0.7031,0.0
LN-HM-00437,0.4965,Reject,1,0.8433,0.7107
LN-HM-00438,0.3209,Reject,1,0.5815,0.8193
LN-HM-00439,0.5208,Reject,0,0.5398,0.7496
LN-HM-00440,0.4193,Reject,0,0.7001,0.763
LN-HM-00441,0.5539,Reject,1,1.2077,0.0
LN-HM-00442,0.6585,Reject,0,0.799,0.9013
LN-HM-00443,0.4512,Reject,0,1.0011,0.0
LN-HM-00444,0.7056,Reject,1,0.6347,0.8998
LN-HM-00445,0.0,Approve,0,0.47,0.7553
LN-HM-00446,0.4751,Reject,1,0.3052,0.0
LN-HM-00447,0.9785,Reject,1,0.716,0.7903
LN-HM-00448,0.5791,Reject,0,0.8983,0.6737
LN-HM-00449,0.8193,Reject,1,0.5542,0.824
LN-HM-00450,0.1752,Reject,0,0.6339,0.9337
LN-HM-00451,0.961,Reject,1,1.0255,0.0
LN-HM-00452,0.3875,Reject,0,0.8451,0.7504
LN-HM-00453,0.4862,Reject,1,0.5211,0.8746
LN-HM-00454,0.7218,Reject,1,0.6059,0.7273
LN-HM-00455,0.4995,Reject,0,0.7223,0.755
LN-HM-00456,0.3334,Reject,1,0.5503,0.7761
LN-HM-00457,0.459,Reject,0,0.4823,0.8082
LN-HM-00458,0.7224,Reject,1,0.8315,0.8408
LN-HM-00459,0.0482,Approve,0,0.3259,0.7589
LN-HM-00460,0.2807,Reject,0,0.6108,0.84
LN-HM-00461,0.5011,Reject,1,0.6818,0.665
LN-HM-00462,0.4076,Reject,0,0.6345,0.6991
LN-HM-00463,0.4214,Reject,1,0.3895,0.0
LN-HM-00464,0.0,Approve,0,0.3054,0.6575
LN-HM-00465,0.3926,Reject,0,0.623,0.0
LN-HM-00466,0.9873,Reject,0,0.8044,0.6729
LN-HM-00467,0.1585,Reject,1,0.6467,0.8468
LN-HM-00468,0.1813,Approve,1,0.4278,0.7456
LN-HM-00469,1.0,Reject,1,0.7595,0.0
LN-HM-00470,0.0,Approve,0,0.4758,0.0
LN-HM-00471,0.5666,Reject,1,0.4275,0.0
LN-HM-00472,0.976,Reject,1,0.6022,0.8419
LN-HM-00473,0.1748,Approve,1,0.3271,0.0
LN-HM-00474,0.5461,Reject,0,0.6447,0.9125
