CUSTOMER_ID,AGE,GENDER,MARITAL_STATUS,CATEGORY,OCCUPATION,GROSS_MONTHLY_INC,MONTHLY_DEDUCTIONS,NET_MONTHLY_INC,AVG_CREDIT_BAL_6M
RET-00034,27,M,Unmarried,GEN,Self-Employed Non-Professional,80000.0,6000.0,74000.0,100000.0
RET-00035,46,F,Unmarried,SC,Salaried,25000.0,5000.0,20000.0,43000.0
RET-00036,25,F,Unmarried,GEN,Salaried,63000.0,14000.0,49000.0,39000.0
RET-00037,40,M,Unmarried,GEN,Self-Employed Professional,157000.0,11000.0,146000.0,418000.0
RET-00038,21,F,Married,GEN,Salaried,32000.0,4000.0,28000.0,51000.0
RET-00039,24,M,Married,Minority,Self-Employed Non-Professional,28000.0,2000.0,26000.0,44000.0
RET-00040,39,F,Married,SC,Self-Employed Non-Professional,143000.0,20000.0,123000.0,173000.0
RET-00041,45,M,Married,GEN,Salaried,155000.0,24000.0,131000.0,146000.0
RET-00042,39,M,Married,GEN,Salaried,32000.0,5000.0,27000.0,46000.0
RET-00043,36,M,Married,Minority,Self-Employed Professional,207000.0,21000.0,186000.0,319000.0
RET-00044,34,M,Married,GEN,Self-Employed Non-Professional,95000.0,5000.0,90000.0,58000.0
RET-00045,23,M,Unmarried,GEN,Self-Employed Non-Professional,137000.0,9000.0,128000.0,335000.0
RET-00046,30,M,Unmarried,GEN,Salaried,45000.0,10000.0,35000.0,89000.0
RET-00047,33,M,Married,OBC,Salaried,179000.0,19000.0,160000.0,259000.0
RET-00048,48,M,Married,GEN,Self-Employed Professional,62000.0,3000.0,59000.0,79000.0
RET-00049,41,M,Married,GEN,Salaried,61000.0,13000.0,48000.0,84000.0
RET-00050,21,F,Married,OBC,Salaried,98000.0,19000.0,79000.0,83000.0
RET-00051,41,F,Married,GEN,Self-Employed Professional,58000.0,7000.0,51000.0,26000.0
RET-00052,34,M,Married,OBC,Salaried,29000.0,6000.0,23000.0,32000.0
RET-00053,31,M,Married,OBC,Self-Employed Non-Professional,79000.0,12000.0,67000.0,37000.0
RET-00054,44,M,Married,GEN,Self-Employed Non-Professional,60000.0,5000.0,55000.0,33000.0
RET-00055,48,F,Married,GEN,Salaried,46000.0,7000.0,39000.0,22000.0
RET-00056,47,F,Married,OBC,Self-Employed Professional,154000.0,12000.0,142000.0,383000.0
RET-00057,29,M,Unmarried,GEN,Self-Employed Professional,307000.0,34000.0,273000.0,235000.0
RET-00058,34,F,Unmarried,GEN,Salaried,42000.0,9000.0,33000.0,37000.0
RET-00059,41,F,Married,OBC,Salaried,82000.0,12000.0,70000.0,121000.0
RET-00060,47,F,Married,OBC,Salaried,58000.0,7000.0,51000.0,93000.0
RET-00061,33,M,Married,GEN,Self-Employed Non-Professional,289000.0,34000.0,255000.0,205000.0
RET-00062,36,M,Married,GEN,Salaried,98000.0,16000.0,82000.0,227000.0
RET-00063,26,M,Married,GEN,Salaried,128000.0,17000.0,111000.0,120000.0
RET-00064,26,M,Married,OBC,Salaried,149000.0,19000.0,130000.0,371000.0
RET-00065,46,M,Married,OBC,Salaried,79000.0,18000.0,61000.0,70000.0
RET-00066,51,M,Married,SC,Salaried,65000.0,14000.0,51000.0,26000.0
RET-00067,37,M,Unmarried,OBC,Salaried,182000.0,35000.0,147000.0,431000.0
RET-00068,48,M,Married,ST,Salaried,117000.0,21000.0,96000.0,164000.0
RET-00069,41,M,Married,GEN,Salaried,44000.0,11000.0,33000.0,89000.0
RET-00070,31,M,Married,GEN,Self-Employed Professional,47000.0,4000.0,43000.0,100000.0
RET-00071,41,F,Married,SC,Self-Employed Professional,58000.0,7000.0,51000.0,48000.0
RET-00072,53,F,Unmarried,GEN,Salaried,147000.0,15000.0,132000.0,345000.0
RET-00073,37,M,Unmarried,GEN,Self-Employed Professional,177000.0,24000.0,153000.0,96000.0
RET-00074,53,M,Married,GEN,Salaried,266000.0,42000.0,224000.0,396000.0
RET-00075,21,M,Unmarried,Minority,Salaried,48000.0,12000.0,36000.0,41000.0
RET-00076,46,M,Married,GEN,Salaried,80000.0,12000.0,68000.0,95000.0
RET-00077,38,F,Married,GEN,Salaried,58000.0,13000.0,45000.0,108000.0
RET-00078,35,M,Married,OBC,Salaried,66000.0,14000.0,52000.0,115000.0
RET-00079,38,M,Unmarried,GEN,Salaried,128000.0,16000.0,112000.0,179000.0
RET-00080,21,F,Married,Minority,Salaried,71000.0,17000.0,54000.0,33000.0
RET-00081,35,M,Married,GEN,Salaried,161000.0,31000.0,130000.0,78000.0
RET-00082,41,M,Married,OBC,Salaried,54000.0,10000.0,44000.0,99000.0
RET-00083,52,M,Unmarried,GEN,Self-Employed Non-Professional,114000.0,15000.0,99000.0,284000.0
RET-00084,32,M,Unmarried,SC,Salaried,56000.0,11000.0,45000.0,118000.0
RET-00085,29,M,Unmarried,ST,Self-Employed Non-Professional,25000.0,3000.0,22000.0,18000.0
RET-00086,32,M,Unmarried,SC,Salaried,40000.0,5000.0,35000.0,28000.0
RET-00087,47,M,Unmarried,SC,Salaried,79000.0,9000.0,70000.0,142000.0
RET-00088,41,F,Unmarried,GEN,Self-Employed Non-Professional,232000.0,33000.0,199000.0,427000.0
RET-00089,32,M,Unmarried,Minority,Self-Employed Non-Professional,56000.0,5000.0,51000.0,104000.0
RET-00090,43,F,Unmarried,OBC,Salaried,66000.0,14000.0,52000.0,141000.0
RET-00091,38,M,Married,ST,Salaried,98000.0,11000.0,87000.0,94000.0
RET-00092,47,M,Married,OBC,Salaried,51000.0,11000.0,40000.0,37000.0
RET-00093,30,M,Unmarried,GEN,Self-Employed Non-Professional,55000.0,5000.0,50000.0,139000.0
RET-00094,34,M,Unmarried,OBC,Salaried,76000.0,8000.0,68000.0,157000.0
RET-00095,34,M,Unmarried,GEN,Self-Employed Professional,56000.0,6000.0,50000.0,114000.0
RET-00096,23,M,Unmarried,OBC,Self-Employed Professional,25000.0,2000.0,23000.0,31000.0
RET-00097,40,F,Unmarried,GEN,Salaried,50000.0,10000.0,40000.0,83000.0
RET-00098,40,M,Married,GEN,Self-Employed Professional,106000.0,13000.0,93000.0,215000.0
RET-00099,38,M,Married,Minority,Self-Employed Professional,108000.0,8000.0,100000.0,200000.0
RET-00100,35,F,Married,Minority,Salaried,163000.0,24000.0,139000.0,325000.0
RET-00101,23,M,Married,ST,Salaried,155000.0,34000.0,121000.0,239000.0
RET-00102,33,M,Married,SC,Self-Employed Non-Professional,43000.0,4000.0,39000.0,115000.0
RET-00103,34,F,Married,OBC,Salaried,47000.0,9000.0,38000.0,66000.0
RET-00104,29,M,Married,OBC,Self-Employed Professional,48000.0,4000.0,44000.0,23000.0
RET-00105,36,M,Unmarried,GEN,Salaried,67000.0,12000.0,55000.0,50000.0
RET-00106,42,M,Married,Minority,Salaried,50000.0,12000.0,38000.0,111000.0
RET-00107,56,M,Unmarried,ST,Self-Employed Non-Professional,66000.0,3000.0,63000.0,105000.0
RET-00108,39,M,Unmarried,OBC,Salaried,43000.0,11000.0,32000.0,26000.0
RET-00109,40,M,Married,Minority,Salaried,117000.0,24000.0,93000.0,83000.0
RET-00110,37,F,Married,OBC,Self-Employed Professional,41000.0,5000.0,36000.0,21000.0
RET-00111,21,F,Unmarried,GEN,Self-Employed Professional,40000.0,2000.0,38000.0,41000.0
RET-00112,37,M,Unmarried,Minority,Salaried,100000.0,23000.0,77000.0,228000.0
RET-00113,38,M,Married,GEN,Self-Employed Non-Professional,113000.0,13000.0,100000.0,132000.0
RET-00114,62,F,Married,OBC,Salaried,64000.0,14000.0,50000.0,56000.0
RET-00115,36,M,Married,GEN,Self-Employed Professional,123000.0,17000.0,106000.0,230000.0
RET-00116,41,M,Married,OBC,Salaried,118000.0,28000.0,90000.0,197000.0
RET-00117,37,M,Married,OBC,Salaried,229000.0,47000.0,182000.0,531000.0
RET-00118,26,F,Married,OBC,Self-Employed Non-Professional,114000.0,8000.0,106000.0,246000.0
RET-00119,49,M,Married,OBC,Self-Employed Professional,204000.0,28000.0,176000.0,136000.0
RET-00120,45,F,Unmarried,GEN,Self-Employed Professional,76000.0,4000.0,72000.0,213000.0
RET-00121,45,M,Unmarried,OBC,Salaried,169000.0,25000.0,144000.0,342000.0
RET-00122,28,M,Unmarried,Minority,Self-Employed Non-Professional,172000.0,21000.0,151000.0,173000.0
RET-00123,52,M,Unmarried,GEN,Salaried,67000.0,12000.0,55000.0,63000.0
RET-00124,23,M,Unmarried,GEN,Salaried,48000.0,8000.0,40000.0,116000.0
RET-00125,43,F,Married,GEN,Self-Employed Non-Professional,54000.0,6000.0,48000.0,47000.0
RET-00126,59,F,Married,Minority,Salaried,94000.0,13000.0,81000.0,87000.0
RET-00127,28,M,Unmarried,OBC,Salaried,37000.0,7000.0,30000.0,42000.0
RET-00128,32,F,Unmarried,Minority,Self-Employed Non-Professional,56000.0,7000.0,49000.0,108000.0
RET-00129,38,F,Married,OBC,Self-Employed Non-Professional,150000.0,11000.0,139000.0,219000.0
RET-00130,32,M,Married,GEN,Self-Employed Professional,109000.0,13000.0,96000.0,123000.0
RET-00131,22,M,Unmarried,SC,Salaried,25000.0,5000.0,20000.0,23000.0
RET-00132,38,M,Married,GEN,Salaried,33000.0,4000.0,29000.0,24000.0
RET-00133,27,M,Married,GEN,Salaried,267000.0,32000.0,235000.0,438000.0
RET-00134,42,M,Unmarried,GEN,Salaried,148000.0,19000.0,129000.0,153000.0
RET-00135,28,M,Married,GEN,Salaried,52000.0,12000.0,40000.0,53000.0
RET-00136,53,M,Unmarried,GEN,Salaried,30000.0,6000.0,24000.0,12000.0
RET-00137,30,F,Unmarried,GEN,Salaried,35000.0,6000.0,29000.0,53000.0
RET-00138,34,F,Married,GEN,Salaried,99000.0,21000.0,78000.0,175000.0
RET-00139,46,M,Married,GEN,Self-Employed Professional,239000.0,27000.0,212000.0,598000.0
RET-00140,25,M,Married,SC,Salaried,230000.0,23000.0,207000.0,206000.0
RET-00141,40,M,Married,GEN,Self-Employed Non-Professional,28000.0,4000.0,24000.0,67000.0
RET-00142,51,M,Unmarried,GEN,Salaried,61000.0,8000.0,53000.0,74000.0
RET-00143,21,M,Married,GEN,Salaried,44000.0,6000.0,38000.0,95000.0
RET-00144,39,M,Married,OBC,Salaried,79000.0,19000.0,60000.0,165000.0
RET-00145,40,M,Married,OBC,Salaried,33000.0,6000.0,27000.0,78000.0
RET-00146,45,M,Married,ST,Salaried,53000.0,10000.0,43000.0,56000.0
RET-00147,25,M,Married,SC,Self-Employed Professional,43000.0,5000.0,38000.0,44000.0
RET-00148,24,M,Unmarried,GEN,Salaried,100000.0,16000.0,84000.0,134000.0
RET-00149,43,F,Married,GEN,Self-Employed Non-Professional,54000.0,5000.0,49000.0,92000.0
RET-00150,40,F,Married,GEN,Self-Employed Professional,59000.0,5000.0,54000.0,120000.0
RET-00151,40,M,Married,Minority,Salaried,99000.0,21000.0,78000.0,174000.0
RET-00152,41,M,Unmarried,OBC,Salaried,196000.0,26000.0,170000.0,135000.0
RET-00153,31,M,Married,GEN,Self-Employed Professional,260000.0,35000.0,225000.0,457000.0
RET-00154,40,M,Unmarried,GEN,Self-Employed Professional,96000.0,14000.0,82000.0,75000.0
RET-00155,40,M,Married,GEN,Self-Employed Non-Professional,69000.0,4000.0,65000.0,148000.0
RET-00156,30,M,Unmarried,GEN,Self-Employed Professional,161000.0,8000.0,153000.0,450000.0
RET-00157,56,F,Married,SC,Salaried,147000.0,16000.0,131000.0,318000.0
RET-00158,42,M,Unmarried,OBC,Salaried,124000.0,29000.0,95000.0,212000.0
RET-00159,26,F,Married,OBC,Self-Employed Professional,28000.0,2000.0,26000.0,18000.0
RET-00160,44,M,Unmarried,GEN,Salaried,151000.0,36000.0,115000.0,111000.0
RET-00161,28,M,Married,GEN,Salaried,91000.0,12000.0,79000.0,110000.0
RET-00162,45,M,Unmarried,OBC,Self-Employed Professional,43000.0,4000.0,39000.0,111000.0
RET-00163,49,M,Unmarried,OBC,Salaried,49000.0,12000.0,37000.0,49000.0
RET-00164,29,M,Married,GEN,Salaried,104000.0,12000.0,92000.0,233000.0
RET-00165,47,M,Married,OBC,Self-Employed Professional,25000.0,3000.0,22000.0,17000.0
RET-00166,42,M,Unmarried,SC,Salaried,68000.0,12000.0,56000.0,121000.0
RET-00167,46,M,Married,GEN,Self-Employed Professional,49000.0,5000.0,44000.0,108000.0
RET-00168,56,M,Unmarried,OBC,Self-Employed Professional,46000.0,6000.0,40000.0,74000.0
RET-00169,35,F,Married,GEN,Salaried,56000.0,7000.0,49000.0,118000.0
RET-00170,30,M,Married,OBC,Salaried,30000.0,6000.0,24000.0,55000.0
RET-00171,29,M,Unmarried,GEN,Self-Employed Professional,138000.0,11000.0,127000.0,215000.0
RET-00172,29,M,Married,OBC,Salaried,25000.0,4000.0,21000.0,56000.0
RET-00173,37,F,Unmarried,GEN,Salaried,81000.0,11000.0,70000.0,95000.0
RET-00174,41,M,Unmarried,GEN,Self-Employed Non-Professional,44000.0,5000.0,39000.0,61000.0
RET-00175,40,M,Married,OBC,Self-Employed Professional,240000.0,28000.0,212000.0,392000.0
RET-00176,46,M,Unmarried,OBC,Salaried,74000.0,17000.0,57000.0,47000.0
RET-00177,38,M,Unmarried,ST,Salaried,25000.0,5000.0,20000.0,36000.0
RET-00178,52,M,Married,OBC,Self-Employed Non-Professional,102000.0,7000.0,95000.0,124000.0
RET-00179,35,F,Unmarried,OBC,Self-Employed Professional,38000.0,3000.0,35000.0,40000.0
RET-00180,65,F,Married,OBC,Salaried,132000.0,23000.0,109000.0,212000.0
RET-00181,44,M,Married,GEN,Self-Employed Professional,106000.0,7000.0,99000.0,131000.0
RET-00182,29,M,Married,GEN,Salaried,177000.0,41000.0,136000.0,359000.0
RET-00183,27,M,Unmarried,GEN,Salaried,82000.0,17000.0,65000.0,99000.0
RET-00184,42,M,Married,GEN,Salaried,120000.0,14000.0,106000.0,162000.0
RET-00185,35,F,Married,GEN,Salaried,75000.0,16000.0,59000.0,174000.0
RET-00186,45,M,Married,Minority,Self-Employed Professional,51000.0,6000.0,45000.0,61000.0
RET-00187,42,M,Married,SC,Salaried,139000.0,32000.0,107000.0,89000.0
RET-00188,37,M,Unmarried,Minority,Self-Employed Professional,35000.0,4000.0,31000.0,83000.0
RET-00189,29,F,Unmarried,Minority,Salaried,72000.0,16000.0,56000.0,156000.0
RET-00190,22,M,Married,GEN,Salaried,52000.0,5000.0,47000.0,50000.0
RET-00191,33,M,Married,GEN,Salaried,121000.0,30000.0,91000.0,246000.0
RET-00192,46,M,Married,OBC,Salaried,41000.0,8000.0,33000.0,57000.0
RET-00193,40,M,Married,ST,Salaried,57000.0,13000.0,44000.0,27000.0
RET-00194,25,F,Married,GEN,Salaried,75000.0,14000.0,61000.0,114000.0
RET-00195,39,M,Married,OBC,Self-Employed Professional,179000.0,16000.0,163000.0,427000.0
RET-00196,41,M,Married,GEN,Self-Employed Professional,53000.0,6000.0,47000.0,70000.0
RET-00197,29,M,Married,GEN,Self-Employed Professional,57000.0,6000.0,51000.0,96000.0
RET-00198,39,F,Married,GEN,Self-Employed Professional,33000.0,3000.0,30000.0,26000.0
RET-00199,38,M,Unmarried,GEN,Self-Employed Non-Professional,41000.0,5000.0,36000.0,94000.0
RET-00200,26,M,Married,ST,Salaried,94000.0,17000.0,77000.0,59000.0
RET-00201,41,M,Unmarried,GEN,Self-Employed Non-Professional,75000.0,9000.0,66000.0,49000.0
RET-00202,43,M,Married,Minority,Salaried,75000.0,12000.0,63000.0,179000.0
RET-00203,48,F,Married,GEN,Self-Employed Professional,208000.0,29000.0,179000.0,480000.0
RET-00204,48,F,Married,Minority,Self-Employed Professional,27000.0,4000.0,23000.0,45000.0
RET-00205,24,M,Unmarried,OBC,Salaried,294000.0,68000.0,226000.0,173000.0
RET-00206,28,M,Unmarried,OBC,Self-Employed Non-Professional,148000.0,14000.0,134000.0,250000.0
RET-00207,43,F,Unmarried,GEN,Salaried,60000.0,9000.0,51000.0,143000.0
RET-00208,43,M,Unmarried,OBC,Salaried,92000.0,18000.0,74000.0,150000.0
RET-00209,43,M,Married,ST,Salaried,49000.0,9000.0,40000.0,40000.0
RET-00210,65,M,Unmarried,GEN,Salaried,89000.0,10000.0,79000.0,218000.0
RET-00211,43,M,Unmarried,GEN,Self-Employed Professional,266000.0,37000.0,229000.0,610000.0
RET-00212,49,M,Unmarried,GEN,Salaried,50000.0,9000.0,41000.0,77000.0
RET-00213,47,F,Unmarried,GEN,Self-Employed Non-Professional,64000.0,5000.0,59000.0,155000.0
RET-00214,44,F,Unmarried,GEN,Self-Employed Professional,46000.0,7000.0,39000.0,25000.0
RET-00215,34,M,Married,OBC,Salaried,51000.0,9000.0,42000.0,69000.0
RET-00216,45,M,Unmarried,GEN,Salaried,57000.0,8000.0,49000.0,46000.0
RET-00217,30,M,Unmarried,OBC,Salaried,38000.0,6000.0,32000.0,83000.0
RET-00218,35,M,Unmarried,ST,Self-Employed Non-Professional,62000.0,5000.0,57000.0,167000.0
RET-00219,33,M,Married,OBC,Self-Employed Professional,76000.0,8000.0,68000.0,192000.0
RET-00220,38,M,Married,GEN,Salaried,57000.0,13000.0,44000.0,77000.0
RET-00221,61,F,Unmarried,OBC,Salaried,25000.0,6000.0,19000.0,34000.0
RET-00222,21,F,Unmarried,GEN,Salaried,67000.0,16000.0,51000.0,141000.0
RET-00223,44,M,Unmarried,GEN,Salaried,71000.0,10000.0,61000.0,141000.0
RET-00224,21,M,Married,GEN,Self-Employed Professional,228000.0,25000.0,203000.0,139000.0
RET-00225,33,M,Unmarried,Minority,Self-Employed Professional,74000.0,7000.0,67000.0,55000.0
RET-00226,48,F,Married,OBC,Salaried,128000.0,29000.0,99000.0,285000.0
RET-00227,38,M,Unmarried,GEN,Self-Employed Non-Professional,57000.0,5000.0,52000.0,74000.0
RET-00228,27,M,Married,GEN,Salaried,159000.0,22000.0,137000.0,133000.0
RET-00229,30,M,Unmarried,GEN,Salaried,41000.0,7000.0,34000.0,80000.0
RET-00230,44,F,Married,Minority,Self-Employed Professional,99000.0,6000.0,93000.0,251000.0
RET-00231,30,F,Married,Minority,Salaried,121000.0,27000.0,94000.0,96000.0
RET-00232,40,M,Married,GEN,Salaried,111000.0,21000.0,90000.0,102000.0
RET-00233,38,F,Married,GEN,Salaried,268000.0,53000.0,215000.0,591000.0
RET-00234,31,M,Unmarried,OBC,Salaried,52000.0,7000.0,45000.0,24000.0
RET-00235,59,M,Unmarried,GEN,Salaried,171000.0,31000.0,140000.0,388000.0
RET-00236,44,F,Unmarried,GEN,Self-Employed Professional,146000.0,9000.0,137000.0,82000.0
RET-00237,21,F,Married,OBC,Salaried,75000.0,14000.0,61000.0,45000.0
RET-00238,39,M,Unmarried,GEN,Salaried,220000.0,50000.0,170000.0,451000.0
RET-00239,31,M,Married,OBC,Salaried,67000.0,14000.0,53000.0,59000.0
RET-00240,46,F,Unmarried,GEN,Salaried,74000.0,13000.0,61000.0,65000.0
RET-00241,30,F,Unmarried,OBC,Salaried,73000.0,17000.0,56000.0,146000.0
RET-00242,36,F,Married,OBC,Self-Employed Non-Professional,34000.0,4000.0,30000.0,56000.0
RET-00243,43,M,Married,OBC,Self-Employed Non-Professional,115000.0,15000.0,100000.0,138000.0
RET-00244,46,F,Married,OBC,Salaried,105000.0,21000.0,84000.0,192000.0
RET-00245,25,F,Unmarried,GEN,Self-Employed Non-Professional,69000.0,10000.0,59000.0,149000.0
RET-00246,34,M,Married,GEN,Salaried,211000.0,33000.0,178000.0,473000.0
RET-00247,33,F,Unmarried,GEN,Salaried,56000.0,7000.0,49000.0,39000.0
RET-00248,31,M,Married,GEN,Self-Employed Professional,26000.0,2000.0,24000.0,47000.0
RET-00249,55,M,Unmarried,GEN,Self-Employed Professional,229000.0,12000.0,217000.0,476000.0
RET-00250,42,M,Unmarried,OBC,Salaried,134000.0,16000.0,118000.0,93000.0
RET-00251,25,M,Married,GEN,Salaried,106000.0,13000.0,93000.0,188000.0
RET-00252,47,M,Unmarried,GEN,Salaried,60000.0,12000.0,48000.0,28000.0
RET-00253,59,F,Unmarried,SC,Salaried,90000.0,11000.0,79000.0,107000.0
RET-00254,48,M,Unmarried,OBC,Salaried,34000.0,8000.0,26000.0,24000.0
RET-00255,22,M,Married,GEN,Self-Employed Professional,64000.0,9000.0,55000.0,105000.0
RET-00256,33,F,Married,GEN,Salaried,43000.0,7000.0,36000.0,35000.0
RET-00257,50,M,Married,GEN,Salaried,86000.0,16000.0,70000.0,173000.0
RET-00258,30,M,Married,GEN,Salaried,127000.0,13000.0,114000.0,92000.0
RET-00259,42,M,Married,ST,Self-Employed Non-Professional,39000.0,5000.0,34000.0,81000.0
RET-00260,45,M,Married,GEN,Salaried,113000.0,16000.0,97000.0,72000.0
RET-00261,28,M,Unmarried,OBC,Salaried,82000.0,9000.0,73000.0,117000.0
RET-00262,37,F,Married,Minority,Salaried,110000.0,24000.0,86000.0,193000.0
RET-00263,21,M,Unmarried,OBC,Self-Employed Professional,63000.0,9000.0,54000.0,49000.0
RET-00264,27,F,Married,GEN,Salaried,112000.0,21000.0,91000.0,217000.0
RET-00265,35,M,Unmarried,OBC,Salaried,48000.0,11000.0,37000.0,107000.0
RET-00266,25,M,Unmarried,SC,Salaried,27000.0,6000.0,21000.0,30000.0
RET-00267,54,M,Married,OBC,Salaried,31000.0,5000.0,26000.0,13000.0
RET-00268,23,F,Unmarried,ST,Salaried,54000.0,12000.0,42000.0,71000.0
RET-00269,33,M,Married,OBC,Salaried,28000.0,4000.0,24000.0,66000.0
RET-00270,39,M,Unmarried,SC,Salaried,185000.0,32000.0,153000.0,331000.0
RET-00271,52,M,Married,Minority,Self-Employed Professional,70000.0,8000.0,62000.0,140000.0
RET-00272,23,M,Married,OBC,Salaried,127000.0,14000.0,113000.0,280000.0
RET-00273,49,M,Married,OBC,Self-Employed Professional,117000.0,14000.0,103000.0,285000.0
RET-00274,38,M,Married,OBC,Salaried,73000.0,14000.0,59000.0,48000.0
RET-00275,28,M,Married,SC,Self-Employed Non-Professional,500000.0,56000.0,444000.0,877000.0
RET-00276,42,F,Married,SC,Self-Employed Non-Professional,424000.0,37000.0,387000.0,1054000.0
RET-00277,39,M,Married,GEN,Self-Employed Professional,169000.0,20000.0,149000.0,364000.0
RET-00278,31,M,Unmarried,OBC,Self-Employed Non-Professional,42000.0,3000.0,39000.0,44000.0
RET-00279,38,M,Married,SC,Salaried,173000.0,35000.0,138000.0,371000.0
RET-00280,34,M,Married,OBC,Self-Employed Professional,26000.0,3000.0,23000.0,28000.0
RET-00281,39,F,Married,OBC,Salaried,169000.0,20000.0,149000.0,228000.0
RET-00282,44,M,Unmarried,GEN,Self-Employed Professional,25000.0,4000.0,21000.0,20000.0
RET-00283,53,M,Married,GEN,Salaried,60000.0,7000.0,53000.0,144000.0
RET-00284,25,F,Married,SC,Salaried,151000.0,32000.0,119000.0,87000.0
RET-00285,59,M,Married,Minority,Self-Employed Non-Professional,92000.0,12000.0,80000.0,239000.0
RET-00286,21,M,Married,GEN,Salaried,30000.0,3000.0,27000.0,36000.0
RET-00287,36,M,Married,OBC,Self-Employed Professional,81000.0,5000.0,76000.0,173000.0
RET-00288,43,F,Married,SC,Self-Employed Professional,92000.0,7000.0,85000.0,70000.0
RET-00289,40,F,Married,SC,Salaried,83000.0,14000.0,69000.0,119000.0
RET-00290,31,F,Married,OBC,Salaried,57000.0,10000.0,47000.0,28000.0
RET-00291,35,M,Married,GEN,Salaried,122000.0,25000.0,97000.0,262000.0
RET-00292,33,F,Married,OBC,Self-Employed Non-Professional,145000.0,15000.0,130000.0,210000.0
RET-00293,32,M,Married,SC,Self-Employed Non-Professional,67000.0,4000.0,63000.0,148000.0
RET-00294,46,M,Unmarried,OBC,Self-Employed Professional,182000.0,16000.0,166000.0,454000.0
RET-00295,41,F,Married,SC,Self-Employed Non-Professional,67000.0,6000.0,61000.0,41000.0
RET-00296,31,M,Unmarried,GEN,Salaried,55000.0,13000.0,42000.0,75000.0
RET-00297,46,M,Married,Minority,Salaried,165000.0,20000.0,145000.0,141000.0
RET-00298,41,M,Married,SC,Salaried,161000.0,35000.0,126000.0,85000.0
RET-00299,46,M,Unmarried,OBC,Salaried,50000.0,9000.0,41000.0,84000.0
RET-00300,44,F,Married,Minority,Salaried,46000.0,10000.0,36000.0,28000.0
RET-00301,29,M,Married,Minority,Salaried,211000.0,37000.0,174000.0,301000.0
RET-00302,32,M,Married,SC,Self-Employed Professional,69000.0,8000.0,61000.0,61000.0
RET-00303,45,M,Married,OBC,Salaried,73000.0,11000.0,62000.0,62000.0
